X,Y,Z
-866.704407,3735.545166,1111.29126
-866.497375,3735.253662,1111.179199
-866.298279,3734.876709,1111.050659
-866.085388,3734.573242,1110.837891
-865.937561,3734.245605,1110.63562
-865.852661,3734.008301,1110.398682
-865.733826,3733.77002,1110.066406
-865.631409,3733.494141,1109.717651
-865.559082,3733.214111,1109.365112
-865.358337,3732.933838,1108.953125
-865.261414,3732.751221,1108.532227
-865.229919,3732.602783,1108.207153
-865.178528,3732.505127,1107.843628
-865.150513,3732.462402,1107.440918
-865.100342,3732.416748,1107.031006
-865.07959,3732.398926,1106.676514
-864.959839,3732.456787,1106.262939
-864.86145,3732.546631,1105.874023
-864.766663,3732.659424,1105.525146
-864.726929,3732.82373,1105.171875
-864.667603,3733.126709,1104.770264
-864.598999,3733.421875,1104.417847
-864.583984,3733.75415,1104.224976
-864.518188,3734.113281,1103.75061
-864.41687,3734.414795,1103.256836
-864.376831,3734.809814,1102.853271
-864.304382,3735.335449,1102.458374
-864.097961,3735.859619,1101.8927
-864.004944,3736.312012,1101.500244
-863.746704,3736.848389,1100.979248
-863.554749,3737.514404,1100.495972
-863.339233,3738.055908,1099.933228
-863.118164,3738.751221,1099.305908
-862.951355,3739.384766,1098.853638
-862.909546,3739.969971,1098.311035
-862.744263,3740.7771,1097.700928
-862.616211,3741.429688,1097.084717
-862.52887,3742.118652,1096.40625
-862.371216,3742.920166,1095.82666
-862.271912,3743.639648,1095.131958
-862.176697,3744.460938,1094.490845
-861.968994,3745.274658,1093.696533
-861.891479,3745.963135,1092.986206
-861.836487,3746.792236,1092.17749
-861.714783,3747.506592,1091.233643
-861.671875,3748.192139,1090.440063
-861.463928,3748.992188,1089.563843
-861.326782,3749.670166,1088.608398
-861.208496,3750.401855,1087.63147
-861.142639,3751.177002,1086.612549
-861.126648,3751.780762,1085.608398
-861.061707,3752.369141,1084.462036
-860.882568,3753.054932,1083.28479
-860.856384,3753.682129,1082.069092
-860.785156,3754.17041,1080.795044
-860.750244,3754.724121,1079.515625
-860.764343,3755.247314,1078.211182
-860.703552,3755.595215,1076.766846
-860.730225,3755.991211,1075.385742
