X,Y,Z
-925.635864,4077.249512,1056.932861
-925.517761,4077.59082,1056.88623
-925.378601,4077.90625,1056.76709
-925.271423,4078.186035,1056.65271
-925.133179,4078.556152,1056.487427
-924.988892,4078.863037,1056.335327
-924.891418,4079.206543,1056.124634
-924.770142,4079.596436,1055.776611
-924.63501,4079.862061,1055.402954
-924.568665,4080.16626,1055.068481
-924.414612,4080.479736,1054.611816
-924.377319,4080.797607,1054.149902
-924.340515,4081.152832,1053.616821
-924.256836,4081.458008,1052.981323
-924.291138,4081.826172,1052.196289
-924.243103,4082.02832,1051.517822
-924.346619,4082.403564,1050.732788
-924.31543,4082.856201,1049.918701
-924.412537,4083.118896,1049.073486
-924.525696,4083.474609,1048.147705
-924.599304,4083.685791,1047.026611
-924.689514,4084.204102,1045.892334
-924.930725,4084.506592,1044.7854
-925.167725,4084.705811,1043.583862
-925.093323,4085.243164,1042.37915
-925.288147,4085.521729,1041.007568
-925.61499,4086.009033,1039.649658
-925.723328,4086.344238,1038.35791
-925.792847,4086.962646,1037.045532
-926.048279,4087.496338,1035.656494
-926.253357,4088.174316,1034.411133
-926.30896,4088.758545,1033.085205
-926.49353,4089.573486,1031.652222
-926.795471,4090.158447,1030.338745
-926.971191,4090.820801,1028.98938
-927.030945,4091.657715,1027.629395
-927.135559,4092.421631,1026.417969
-927.253784,4093.315674,1025.202759
-927.327759,4094.322266,1024.00647
-927.284058,4095.489014,1022.915466
-927.292542,4096.594727,1021.997314
-927.359497,4097.858398,1020.993225
-927.293457,4099.239746,1020.150879
-927.168945,4100.563965,1019.38092
-927.322083,4101.938965,1018.778564
-927.306213,4103.469727,1018.042908
-927.193909,4104.988281,1017.346985
-927.137634,4106.459473,1016.749146
-927.034546,4107.879883,1016.100647
-926.784363,4109.430664,1015.425781
-926.615906,4111.071777,1014.873535
-926.409424,4112.569824,1014.346619
-926.184265,4114.104004,1013.688538
-925.921753,4115.612305,1012.979126
-925.702332,4116.952637,1012.408142
-925.459351,4118.291992,1011.770508
-925.276611,4119.938477,1011.23761
-924.944458,4121.265625,1010.771301
-924.709717,4122.656738,1010.295776
-924.478699,4124.217773,1009.908691
-924.189026,4125.670898,1009.564636
-924.073547,4127.051758,1009.237671
-923.943848,4128.50293,1008.98291
-923.770874,4129.881348,1008.833313
-923.680115,4131.263184,1008.649353
-923.536621,4132.65918,1008.485107
-923.467468,4133.942383,1008.389954
-923.445557,4135.235352,1008.261414
-923.325073,4136.38623,1008.070129
-923.266785,4137.354004,1007.832642
-923.12207,4138.353027,1007.559326
-923.014465,4139.244141,1007.202881
-922.783203,4139.98877,1006.784668
-922.522217,4140.612793,1006.317139
-922.163574,4141.344238,1005.837891
-921.87738,4141.891602,1005.344482
-921.49762,4142.471191,1004.826904
-921.093079,4142.916016,1004.237671
-920.719788,4143.350586,1003.705627
-920.450806,4143.629395,1003.232483
-920.060486,4144.022461,1002.704529
-919.691345,4144.258789,1002.249023
-919.322449,4144.452637,1001.759766
-918.927612,4144.736328,1001.353638
-918.576294,4144.96875,1000.998962
-918.081604,4145.21582,1000.573425
-917.602417,4145.443359,1000.157715
-917.126709,4145.510254,999.780029
-916.571106,4145.644531,999.392944
-916.133423,4145.76416,999.059265
-915.617493,4145.784668,998.749878
-915.065552,4145.936523,998.438538
-914.495667,4145.871094,998.196106
-914.096863,4145.914551,997.979004
-913.664917,4146.027344,997.825562
-913.336792,4146.097656,997.755371
-913.105225,4146.044434,997.786438
-913.028748,4145.999023,997.947815
-913.072998,4145.985352,998.175171
-913.284363,4145.922363,998.491699
-913.623901,4145.808105,998.993347
-914.221191,4145.651855,999.692139
-915.036011,4145.619141,1000.360474
-916.071899,4145.427246,1001.161194
-917.405701,4145.293945,1002.28833
-918.871338,4145.09082,1003.654846
-920.666321,4144.90625,1005.127197
-922.564758,4144.40625,1006.765381
-924.796997,4144.270996,1008.66925
-927.085449,4143.874023,1010.688782
-929.64917,4143.573242,1012.94873
-932.282593,4143.316406,1015.374634
-934.80896,4142.874512,1017.910339
-937.492004,4142.591309,1020.720337
-940.157532,4142.194824,1023.494507
-942.724426,4141.731445,1026.449829
-945.153076,4141.331543,1029.478394
-947.556396,4141.020508,1032.438721
-949.72229,4140.494629,1035.332397
-951.784546,4140.191895,1038.264771
-953.602295,4139.605469,1040.949097
-955.220154,4139.269043,1043.593018
-956.595642,4138.782227,1046.005859
-957.950195,4138.534668,1048.374634
-958.924988,4138.032227,1050.314819
-959.946411,4137.620117,1052.264404
-960.885071,4137.353027,1053.942749
-961.607971,4137.035645,1055.439697
-962.135681,4136.75,1056.725952
-962.516052,4136.533691,1057.697388
-962.809875,4136.28418,1058.491577
-962.997375,4136.029785,1059.240601
-963.148193,4135.843262,1059.803345
-963.224976,4135.732422,1060.275269
-963.209167,4135.727539,1060.555786
-963.213928,4135.702148,1060.818481
-963.114929,4135.68457,1061.0177
-963.000366,4135.799316,1061.154663
-962.811096,4135.901367,1061.210815
-962.619751,4136.041016,1061.202759
-962.396484,4136.066895,1061.160522
-962.138733,4136.109375,1061.10498
-961.891174,4136.252441,1061.034302
-961.622864,4136.386719,1060.931641
-961.388794,4136.440918,1060.810425
-961.124207,4136.42334,1060.741821
-960.874084,4136.353027,1060.658325
-960.667358,4136.405273,1060.631226
-960.464783,4136.422852,1060.620483
-960.199463,4136.414062,1060.558594
-959.971375,4136.379395,1060.526733
-959.81189,4136.253906,1060.575806
-959.646667,4136.281738,1060.645996
-959.512207,4136.174316,1060.668457
-959.337463,4136.04834,1060.686279
-959.194458,4135.972656,1060.744141
-958.940186,4135.833984,1060.675049
-958.621826,4135.648926,1060.426758
-958.33551,4135.531738,1060.076172
-957.873474,4135.326172,1059.544556
-957.374756,4135.102051,1058.985474
-956.948792,4134.831543,1058.311279
-956.502808,4134.583496,1057.597412
-956.012024,4134.404785,1056.906128
-955.474487,4134.351562,1056.081177
-954.977417,4134.134766,1055.224731
-954.450806,4133.776855,1054.141724
-953.84729,4133.565918,1053.108521
-953.005737,4133.402344,1051.999878
-952.369629,4133.212402,1050.912109
-951.578674,4133.143066,1049.737671
-950.842102,4133.081055,1048.664917
-950.059204,4132.942871,1047.486694
-949.383606,4133.027832,1046.35022
-948.650635,4132.938477,1045.303711
-947.822815,4132.935547,1044.188721
-947.189758,4132.827148,1043.077759
-946.504456,4132.779297,1042.164551
-945.776245,4132.786621,1041.335815
-945.061096,4132.720703,1040.478882
-944.406738,4132.808594,1039.637329
-943.743835,4132.666992,1038.811646
-943.161743,4132.700684,1038.127686
-942.654663,4132.664062,1037.535645
-942.201477,4132.524414,1037.057373
-941.883789,4132.476074,1036.672729
-941.583435,4132.456543,1036.390259
-941.309143,4132.499023,1036.194092
-941.13385,4132.529297,1036.023804
-940.9776,4132.439941,1035.807129
-940.8302,4132.311035,1035.613159
-940.704163,4132.200684,1035.411621
-940.595398,4132.003906,1035.176758
-940.566101,4131.788574,1035.0177
-940.532043,4131.447754,1034.762573
-940.549438,4131.143066,1034.484131
-940.576843,4130.824707,1034.137207
-940.571167,4130.42627,1033.734741
-940.555847,4130.055176,1033.373413
-940.573547,4129.592773,1032.886353
-940.606262,4129.120117,1032.409058
-940.538269,4128.67334,1031.854736
-940.487244,4128.328125,1031.229248
-940.367065,4127.955078,1030.591064
-940.267334,4127.571777,1029.959106
-940.106689,4127.215332,1029.35498
-939.840759,4126.932617,1028.655762
-939.505188,4126.536133,1027.916992
-939.176453,4126.269531,1027.225464
-938.878235,4126.082031,1026.644165
-938.536804,4125.773926,1025.967896
-938.200745,4125.559082,1025.337769
-937.940186,4125.3125,1024.729004
-937.656311,4125.064941,1024.161865
-937.302856,4124.706055,1023.486633
-937.031006,4124.461914,1022.920715
-936.796875,4124.17627,1022.480835
-936.615723,4123.875,1022.057861
-936.411743,4123.567871,1021.690002
-936.236633,4123.199707,1021.394958
-936.165955,4122.812988,1021.16095
-936.183899,4122.365234,1020.975098
-936.277832,4121.854492,1020.846008
-936.425354,4121.534668,1020.809265
-936.613892,4121.102051,1020.778992
-936.906433,4120.591797,1020.750549
-937.19104,4120.217285,1020.741821
-937.567749,4119.648438,1020.750854
-937.933044,4119.185059,1020.742676
-938.389587,4118.601562,1020.650635
-938.69519,4118.145508,1020.533081
-938.984314,4117.498535,1020.343872
-939.279297,4117.112793,1020.145081
-939.529602,4116.46582,1019.920593
-939.80481,4116.037598,1019.613037
-940.007019,4115.554688,1019.363281
-940.249817,4114.897461,1019.044983
-940.484131,4114.366211,1018.700867
-940.699585,4113.706055,1018.34082
-940.986328,4113.126953,1017.973999
-941.315002,4112.530273,1017.729065
-941.647339,4111.978027,1017.485596
-942.086304,4111.338867,1017.350891
-942.579224,4110.71582,1017.195129
-943.123901,4110.143066,1017.074585
-943.654297,4109.441406,1016.969666
-944.260803,4108.628418,1016.825684
-944.838989,4107.78418,1016.811157
-945.410522,4106.881836,1016.754883
-945.889221,4105.925293,1016.669739
-946.479553,4104.90918,1016.546875
-947.050964,4103.766602,1016.433594
-947.556335,4102.498047,1016.286255
-948.006836,4101.092285,1016.10437
-948.39856,4099.605957,1015.870667
-948.724609,4098.095703,1015.617981
-949.020996,4096.46582,1015.32843
-949.253357,4094.70166,1015.100708
-949.54834,4092.958984,1014.897095
-949.776733,4091.119873,1014.709106
-949.965149,4089.205811,1014.497742
-950.110046,4087.253662,1014.247314
-950.311951,4085.161133,1014.057617
-950.524963,4083.132324,1013.882874
-950.65033,4081.01709,1013.671021
-950.777954,4078.717285,1013.492493
-950.913147,4076.369873,1013.295288
-950.982849,4074.038574,1013.075562
-951.192261,4071.608154,1012.930176
-951.383789,4069.228271,1012.80426
-951.495972,4066.688477,1012.671936
-951.610779,4064.088379,1012.571838
-951.764038,4061.451416,1012.540222
-951.851013,4058.836426,1012.474304
-952.027344,4056.2229,1012.457581
-952.152466,4053.431152,1012.469421
-952.254761,4050.619629,1012.529114
-952.394653,4047.810059,1012.598877
-952.453979,4045.016846,1012.592651
-952.53772,4042.078125,1012.488464
-952.615173,4039.029053,1012.384277
-952.605469,4035.89624,1012.328369
-952.646423,4032.68042,1012.265808
-952.799072,4029.597656,1012.266846
-952.790588,4026.413086,1012.173279
-952.713623,4023.102295,1012.082336
-952.793213,4019.88501,1012.018066
-952.767273,4016.536133,1011.898071
-952.750183,4013.116455,1011.799805
-952.706909,4009.639648,1011.684448
-952.729675,4006.155518,1011.487488
-952.629944,4002.583984,1011.344299
-952.611572,3998.870605,1011.101868
-952.577148,3995.291992,1010.882629
-952.490723,3991.615234,1010.743286
-952.435364,3987.849609,1010.616333
-952.392151,3984.230225,1010.39801
-952.279419,3980.572021,1010.259033
-952.218567,3976.785156,1010.110962
-952.101807,3973.037842,1009.979004
-952.016052,3969.324707,1009.881958
-951.83075,3965.401855,1009.659546
-951.754883,3961.631836,1009.401428
-951.479614,3957.780029,1009.140137
-951.300171,3953.775635,1008.82019
-951.098877,3949.842041,1008.451965
-950.697876,3945.772705,1008.010376
-950.468201,3941.693604,1007.528809
-950.098999,3937.515137,1006.9953
-949.695801,3933.388184,1006.329773
-949.327759,3929.020264,1005.698792
-948.958313,3924.7229,1005.028381
-948.44104,3920.505615,1004.262207
-948.092041,3916.164551,1003.575562
-947.503662,3911.744141,1002.804138
-947.030273,3907.390869,1001.982117
-946.47406,3902.833496,1001.174438
-945.940796,3898.287842,1000.347168
-945.347046,3893.765137,999.58374
-944.840576,3889.21582,998.69751
-944.223572,3884.531738,997.88916
-943.539368,3879.958984,997.077271
-942.925232,3875.29541,996.277161
-942.151611,3870.528564,995.4104
-941.539429,3865.838867,994.612183
-940.805969,3860.940186,993.731689
-940.141052,3856.122559,992.959412
-939.410217,3851.296875,992.148682
-938.670044,3846.25415,991.487122
-937.903564,3841.389893,990.660339
-937.135132,3836.396729,989.884521
-936.195618,3831.260254,988.949158
-935.41864,3826.207275,988.13269
-934.535767,3821.001953,987.332581
-933.5448,3815.709473,986.567444
-932.531311,3810.473389,985.610779
-931.522522,3805.225342,984.780945
-930.45752,3799.93335,984.070618
-929.280396,3794.606445,983.12854
-928.074341,3789.17627,982.328491
-926.989502,3783.762451,981.441956
-925.643494,3778.255371,980.530457
-924.462585,3772.686035,979.749329
-923.036316,3767.295898,978.899109
-921.761414,3761.664307,978.126709
-920.275757,3756.094238,977.443176
-918.870483,3750.648438,976.692627
-917.504333,3745.142334,976.005615
-915.986877,3739.527832,975.200073
-914.637573,3733.891846,974.519409
-913.184753,3728.267578,973.718384
-911.812866,3722.519775,973.208557
-910.408081,3716.948242,972.496216
-908.921814,3711.095459,971.908569
-907.617126,3705.550781,971.204163
-906.226196,3699.701416,970.558167
-904.792603,3693.994141,969.793091
-903.558411,3688.270264,969.259399
-902.153564,3682.413574,968.488098
-900.86615,3676.65625,967.785095
-899.597168,3670.844971,967.153442
-898.369263,3664.952881,966.52887
-897.101379,3659.427734,965.948242
-895.882446,3653.466797,965.220886
-894.625366,3647.740723,964.550049
-893.416382,3641.8479,964.003235
-892.149109,3636.153076,963.294006
-890.997009,3630.381348,962.624878
-889.789734,3624.735352,962.027466
-888.661377,3618.836426,961.257568
-887.447144,3612.930176,960.460449
-886.279358,3607.143555,959.581421
-885.226624,3601.495117,958.821411
-884.222229,3595.886475,958.302612
-882.81488,3589.728271,957.601257
-881.494507,3583.991211,956.818909
-880.298401,3578.185059,955.905151
-879.077698,3572.475586,955.237549
-877.696838,3566.527588,954.560608
-876.500183,3560.736816,953.913818
-875.206726,3554.853516,953.245422
-873.825134,3548.919189,952.450745
-872.702209,3543.258789,952.090942
-871.514465,3537.231445,951.745605
-870.416748,3531.391602,951.455139
-869.338684,3525.66748,951.195618
-868.272766,3519.683594,951.090942
-867.069275,3513.703857,950.84375
-866.071655,3507.60791,950.738159
-865.188782,3501.27832,950.706421
-864.312195,3494.964111,951.000671
-863.481873,3488.600586,951.447754
-862.69043,3482.192627,952.010925
-861.925842,3475.567139,952.598938
-861.177734,3468.893066,953.162109
-860.532776,3461.71875,953.946777
-859.881836,3454.553955,955.033325
-859.397217,3447.193604,956.315002
-858.876404,3439.559082,957.612732
-858.42926,3431.866211,959.015076
-858.183044,3424.001221,960.719482
-857.807556,3415.41333,962.697144
-857.641785,3407.213867,964.986938
-857.573608,3398.709717,967.173584
-857.362183,3390.099121,969.483765
-857.16156,3381.161133,971.718262
-857.210144,3371.806396,974.298157
-857.360229,3362.391113,976.989624
-857.480103,3352.874023,980.035828
-857.682739,3343.030518,983.169373
-857.670288,3333.178955,986.22937
-857.099304,3322.819336,989.266541
-856.850159,3312.362793,992.433411
-857.058716,3301.922852,995.956116
-857.245728,3291.375,999.616943
-857.452759,3280.595215,1003.219482
-857.59613,3269.678955,1006.845703
-857.585388,3258.695068,1010.271423
-857.708313,3247.476318,1013.591553
-857.957336,3236.159668,1017.263062
-858.086853,3224.649658,1021.066284
-858.310303,3213.25293,1024.739502
-858.409912,3201.769287,1028.046875
-858.387451,3189.957031,1031.106567
-858.445007,3178.087402,1034.151978
-858.416748,3165.947998,1037.018799
-858.648499,3153.82373,1039.925049
-858.740173,3141.617432,1042.721191
-858.935181,3129.466309,1045.03894
-859.01178,3117.272461,1047.081177
-859.221741,3104.866211,1048.959717
-859.434814,3092.412354,1050.448853
-859.659973,3079.803955,1051.87207
-860.085815,3067.362061,1052.917114
-860.430908,3055.082275,1053.575317
