X,Y,Z
-934.027222,4055.880127,1098.07959
-934.160706,4055.714111,1097.891479
-934.225098,4055.551514,1097.626709
-934.323364,4055.422363,1097.196655
-934.563782,4055.285889,1096.972046
-934.753662,4055.154297,1096.626831
-934.957458,4054.98877,1096.140991
-935.16272,4054.883057,1095.782104
-935.328064,4054.868652,1095.310913
-935.395081,4054.791504,1094.783325
-935.504272,4054.834961,1094.364014
-935.637024,4054.908203,1093.935425
-935.737305,4054.986084,1093.359863
-935.834229,4055.132324,1092.863037
-935.997559,4055.360352,1092.286743
-936.112427,4055.547607,1091.85376
-936.21405,4055.857178,1091.268188
-936.285889,4056.103271,1090.865967
-936.333923,4056.474609,1090.186523
-936.347168,4056.770264,1089.657959
-936.396545,4057.132812,1089.078857
-936.34668,4057.574707,1088.466919
-936.366211,4058.015869,1087.937866
-936.317749,4058.472656,1087.373535
-936.272949,4058.881348,1086.74231
-936.203796,4059.300049,1086.101929
-936.116455,4059.79541,1085.38562
-936.02063,4060.27124,1084.735229
-935.907654,4060.741455,1084.042114
-935.842651,4061.246338,1083.38269
-935.67627,4061.708984,1082.599243
-935.581299,4062.21875,1081.859009
-935.503357,4062.77417,1081.219849
-935.398132,4063.281982,1080.43103
-935.310974,4063.852295,1079.699097
-935.176392,4064.442139,1078.959106
-935.080444,4065.031006,1078.127319
-935.03241,4065.711914,1077.443359
-934.926208,4066.308594,1076.652954
-934.792114,4066.897461,1075.815552
-934.649963,4067.5625,1074.988647
-934.568604,4068.198242,1074.11853
-934.49353,4068.744141,1073.099854
-934.392151,4069.224365,1072.061035
-934.326843,4069.699707,1071.143188
-934.3302,4070.231445,1070.11145
-934.302612,4070.866943,1069.104614
-934.246216,4071.402588,1068.062744
-934.170715,4071.968506,1067.013184
-934.178162,4072.564209,1065.844849
-934.113831,4072.999512,1064.642944
-934.159851,4073.5354,1063.521484
-934.238953,4074.016602,1062.337769
-934.366943,4074.41626,1061.067627
-934.520935,4074.946289,1059.932373
-934.708618,4075.438477,1058.813232
-934.790894,4075.90332,1057.483032
-934.867859,4076.419434,1056.224487
-934.905334,4076.940918,1054.981689
-934.934326,4077.391113,1053.662964
-934.994141,4077.875977,1052.435181
-934.960205,4078.424072,1051.173096
-934.93927,4078.936523,1049.842773
-934.929138,4079.465332,1048.652344
-934.84906,4080.010498,1047.5625
-934.70697,4080.70459,1046.428101
-934.538513,4081.390869,1045.414551
-934.26001,4082.147217,1044.455688
-933.956238,4083.079346,1043.665405
-933.671204,4084.000977,1043.075195
-933.355042,4085.029541,1042.44458
-932.914062,4086.088623,1041.919312
-932.356445,4087.123779,1041.276001
-931.816345,4088.154785,1040.733154
-931.03894,4089.125732,1040.028442
-930.186768,4090.243408,1039.447632
-929.195312,4091.197998,1038.816772
-928.251099,4092.171143,1038.365234
-927.152527,4093.129639,1037.602295
-926.115845,4094.14917,1037.035522
-925.096924,4095.158936,1036.488037
-924.078186,4096.123047,1035.960815
-923.128723,4097.033203,1035.50061
-922.081604,4097.915527,1034.951782
-921.166077,4098.739746,1034.506592
-920.330811,4099.646973,1034.038574
-919.573486,4100.464355,1033.60376
-918.869629,4101.183594,1033.191284
-918.189697,4101.909668,1032.763184
-917.518677,4102.52002,1032.326294
-916.886169,4103.166504,1031.824585
-916.306641,4103.77002,1031.363037
-915.760254,4104.289062,1030.940918
-915.217468,4104.899414,1030.640869
-914.806458,4105.57959,1030.427368
-914.375427,4106.173828,1030.179565
-913.943604,4106.881836,1029.968994
-913.631958,4107.42041,1029.738281
-913.332581,4108.112793,1029.537231
-913.051575,4108.598633,1029.315186
-912.742615,4109.035645,1029.069092
-912.571716,4109.477539,1028.969482
-912.481628,4109.858887,1028.891724
-912.457458,4110.239746,1028.845093
-912.542908,4110.739746,1028.907959
-912.762573,4111.03418,1029.035889
-913.091125,4111.328125,1029.281982
-913.679504,4111.722656,1029.82251
-914.435913,4112.036133,1030.446411
-915.364258,4112.413086,1031.370361
-916.424133,4112.703613,1032.500366
-917.530396,4113.185547,1033.629639
-918.741455,4113.51123,1035.031494
-920.010254,4113.951172,1036.663574
-921.306824,4114.285156,1038.161255
-922.596008,4114.555176,1040.014526
-924.091309,4114.844238,1041.914185
-925.474304,4115.027832,1043.850952
-927.040466,4115.181641,1046.007812
-928.494934,4115.368164,1048.208618
-930.003601,4115.373535,1050.427124
-931.492981,4115.467773,1052.644043
-932.748352,4115.304199,1054.784668
-934.049316,4115.224121,1056.876099
-935.138489,4115.03418,1058.817261
-936.140442,4114.701172,1060.788818
-937.23877,4114.498047,1062.581543
-938.094055,4114.324707,1064.300903
-938.74408,4113.990234,1065.717041
-939.393311,4113.638184,1067.07251
-939.780151,4113.302246,1068.248657
-940.059937,4112.950684,1069.136719
-940.278625,4112.533203,1069.816528
-940.335632,4112.145508,1070.305176
-940.230164,4111.796875,1070.63916
-940.098999,4111.437988,1070.829102
-939.969177,4111.089844,1070.91687
-939.74353,4110.761719,1070.986328
-939.441833,4110.503906,1071.007446
-939.162109,4110.30127,1070.994751
-938.87854,4110.141602,1070.923828
-938.478455,4109.937988,1070.786255
-938.075134,4109.796387,1070.686279
-937.773438,4109.728027,1070.632202
-937.369568,4109.524414,1070.61084
-936.98645,4109.395508,1070.518555
-936.634644,4109.283691,1070.373535
-936.282288,4109.157227,1070.177124
-935.926147,4109.075195,1070.071045
-935.639404,4109.043945,1069.974243
-935.434692,4108.973633,1069.897339
-935.181335,4108.865234,1069.794678
-934.913879,4108.806152,1069.695801
-934.665283,4108.730469,1069.581055
-934.465088,4108.676758,1069.358887
-934.218872,4108.630859,1069.125
-933.863403,4108.461914,1068.860107
-933.609497,4108.41748,1068.571411
-933.385742,4108.41748,1068.227783
-933.215759,4108.328125,1067.860229
-932.995178,4108.354492,1067.364868
-932.726013,4108.246582,1066.812622
-932.553406,4108.304199,1066.299683
-932.406067,4108.383301,1065.6875
-932.178528,4108.431152,1065.036377
-931.938782,4108.402344,1064.299927
-931.631104,4108.43457,1063.591553
-931.256653,4108.396484,1062.812134
-930.918823,4108.494629,1061.985229
-930.474426,4108.696289,1061.137085
-930.165955,4108.786133,1060.272461
-929.845032,4108.933594,1059.404785
-929.680786,4109.125,1058.512695
-929.47522,4109.297852,1057.613159
-929.252319,4109.408203,1056.696533
-929.07251,4109.523438,1055.815308
-928.951721,4109.695312,1055.030762
-928.862183,4109.851074,1054.129395
-928.757385,4110.001953,1053.336426
-928.746033,4110.151855,1052.501221
-928.608459,4110.271484,1051.638794
-928.590881,4110.379395,1050.774902
-928.543701,4110.383301,1049.973389
-928.557922,4110.473145,1049.184448
-928.628052,4110.493164,1048.392212
-928.688721,4110.52002,1047.596802
-928.652588,4110.643555,1046.808228
-928.668152,4110.731934,1045.96814
-928.708069,4110.740723,1045.131104
-928.667847,4110.726562,1044.226562
-928.593018,4110.703613,1043.316284
-928.594727,4110.640137,1042.38623
-928.617981,4110.625488,1041.501221
-928.551331,4110.481445,1040.507935
-928.471375,4110.288086,1039.522461
-928.476868,4110.192871,1038.677246
-928.46582,4110.162598,1037.827515
-928.476685,4109.979492,1037.021729
-928.50116,4109.912109,1036.210205
-928.592102,4109.73291,1035.441772
-928.687134,4109.503418,1034.761353
-928.812134,4109.221191,1034.132935
-928.930298,4108.980469,1033.477173
-928.937378,4108.667969,1032.769775
-929.080933,4108.370605,1032.012939
-929.260193,4108.027344,1031.467041
-929.408508,4107.703125,1030.961548
-929.600891,4107.280273,1030.413574
-929.886169,4106.737793,1029.844971
-930.162231,4106.268555,1029.328857
-930.560547,4105.711914,1028.813232
-930.884033,4105.139648,1028.236938
-931.276917,4104.418945,1027.707397
-931.756958,4103.699219,1027.179932
-932.091553,4102.904297,1026.666504
-932.488831,4102.07666,1026.138428
-932.92865,4101.15625,1025.545288
-933.234497,4100.255859,1024.87854
-933.57843,4099.219727,1024.308228
-933.930664,4098.17334,1023.724548
-934.290955,4096.980957,1023.138062
-934.561707,4095.703125,1022.508484
-934.911804,4094.4375,1021.847229
-935.200317,4093.193604,1021.202209
-935.536621,4091.893555,1020.731445
-935.87561,4090.535645,1020.223633
-936.140503,4089.023682,1019.589783
-936.476929,4087.451416,1018.951294
-936.696716,4085.826904,1018.330566
-937.024963,4084.247559,1017.669556
-937.240784,4082.550049,1017.05542
-937.442932,4080.853027,1016.426941
-937.598328,4079.051025,1015.813354
-937.708435,4077.111816,1015.138977
-937.833679,4075.28833,1014.528503
-937.985291,4073.343262,1013.855835
-938.103943,4071.311035,1013.181213
-938.261719,4069.345459,1012.656311
-938.466187,4067.368408,1012.087219
-938.669373,4065.29248,1011.64856
-938.879333,4063.169922,1011.270386
-939.161316,4060.999756,1010.906921
-939.456604,4058.791748,1010.632507
-939.718689,4056.670166,1010.334229
-939.979614,4054.543457,1009.976624
-940.180481,4052.229492,1009.645935
-940.383484,4049.840332,1009.401306
-940.450378,4047.520996,1009.086121
-940.49762,4045.007324,1008.746521
-940.571533,4042.505859,1008.442993
-940.653564,4040.067139,1008.215637
-940.612976,4037.391602,1007.83313
-940.496338,4034.656982,1007.515198
-940.501526,4031.966309,1007.24054
-940.587769,4029.270752,1007.066711
-940.450195,4026.442627,1006.862061
-940.393799,4023.528564,1006.705261
-940.238708,4020.613281,1006.540039
-940.165771,4017.739258,1006.342041
-939.904663,4014.673828,1006.178833
-939.756226,4011.550049,1006.043579
-939.613953,4008.425293,1005.880371
-939.467041,4005.118408,1005.752563
-939.187561,4001.75293,1005.586365
-939.119141,3998.506348,1005.418152
-938.840027,3994.93457,1005.26416
-938.571594,3991.421875,1005.118958
-938.41864,3987.883789,1004.999756
-938.111328,3984.268799,1004.943115
-937.9245,3980.582275,1004.780396
-937.66748,3976.906982,1004.563904
-937.251587,3973.006104,1004.324585
-937.057861,3969.134521,1004.097473
-936.673157,3965.30127,1003.9375
-936.41217,3961.250244,1003.731628
-936.136658,3957.283691,1003.458008
-935.771301,3953.205322,1003.164429
-935.519043,3949.013428,1002.858276
-935.192383,3944.769287,1002.527466
-934.898071,3940.557617,1002.218018
-934.46936,3936.154053,1001.847839
-934.188904,3931.814697,1001.432556
-933.742798,3927.251953,1001.026062
-933.397827,3922.848389,1000.517395
-932.865906,3918.306396,1000.001892
-932.460754,3913.639404,999.39801
-931.89386,3908.879639,998.662964
-931.45166,3904.213623,997.982056
-930.829895,3899.436523,997.17926
-930.302063,3894.668945,996.418152
-929.802429,3889.80835,995.726318
-929.144287,3884.734375,994.835388
-928.56958,3879.793701,994.045166
-927.848816,3874.797363,993.134705
-927.218445,3869.755615,992.231995
-926.618591,3864.710938,991.296143
-925.893311,3859.464355,990.396973
-925.312134,3854.288818,989.533752
-924.679077,3849.116943,988.690308
-923.958069,3843.927979,987.856873
-923.21759,3838.787109,987.072388
-922.415405,3833.546387,986.122925
-921.594177,3828.188232,985.47998
-920.770874,3823.042969,984.659912
-920.02655,3817.775391,983.98175
-919.164429,3812.465332,983.259827
-918.343567,3807.225098,982.530701
-917.438721,3801.878662,981.812256
-916.562683,3796.432373,981.15332
-915.709045,3791.017578,980.398804
-914.818604,3785.587646,979.714722
-913.79425,3780.028809,978.942993
-912.782043,3774.461426,978.174255
-911.887451,3768.974121,977.600342
-910.744385,3763.279785,976.732117
-909.703918,3757.535889,976.036804
-908.637085,3751.923096,975.243713
-907.317749,3746.162109,974.481445
-906.197876,3740.29834,973.673462
-904.898499,3734.378174,972.794861
-903.710266,3728.660156,971.981262
-902.45343,3722.71875,971.14325
-901.217285,3716.905273,970.410339
-899.921387,3710.915527,969.516052
-898.737732,3704.827637,968.833984
-897.420471,3698.84082,968.063599
-896.170532,3692.813477,967.217529
-894.960938,3686.759521,966.37262
-893.761414,3680.847656,965.650024
-892.470154,3674.790039,964.877075
-891.267578,3668.666016,964.093567
-890.053589,3662.703613,963.352112
-888.797363,3656.654297,962.603333
-887.535645,3650.518799,961.825439
-886.300415,3644.490234,960.96698
-885.071045,3638.382324,960.087952
-883.929504,3632.26001,959.190247
-882.831665,3626.216797,958.382141
-881.669373,3620.118408,957.538574
-880.620911,3614.093262,956.807739
-879.501465,3607.760986,955.924194
-878.28479,3601.754883,955.14917
-877.154663,3595.564209,954.193665
-876.052917,3589.450684,953.272583
-874.882141,3583.243896,952.321472
-873.747986,3577.144775,951.479187
-872.643005,3570.956055,950.639221
-871.393311,3564.812256,949.850342
-870.191589,3558.476807,948.935181
-869.146484,3552.403809,948.243347
-867.885437,3546.039062,947.389099
-866.792358,3539.768799,946.721802
-865.761841,3533.480225,946.06543
-864.732056,3526.979248,945.538574
-863.788086,3520.427246,945.071472
-862.957336,3514.01416,944.78125
-862.234375,3507.524414,944.702332
-861.489746,3501.039795,944.666809
-860.61084,3494.383057,944.729553
-859.895081,3487.737061,944.964417
-859.22699,3480.966309,945.356079
-858.535034,3474.073486,945.844116
-857.842468,3467.15332,946.440002
-857.238037,3460.116211,947.267517
-856.680969,3452.87207,948.268433
-856.182983,3445.796387,949.372314
-855.680481,3438.357178,950.712341
-855.003418,3430.459961,952.101562
-854.521606,3422.790527,953.600891
-854.30896,3414.925781,955.419067
-854.099365,3406.729492,957.435425
-853.900574,3398.448975,959.550232
-853.80835,3389.851807,961.937988
-853.970154,3381.037842,964.37677
-854.233765,3372.12207,967.248962
-854.442383,3362.963623,970.174866
-854.636536,3353.429688,973.36084
-854.624451,3343.511719,976.69519
-854.59491,3333.429199,980.139832
-854.885681,3323.387207,983.66687
-855.383545,3313.154541,987.436462
-855.856506,3302.989258,991.317078
-856.307495,3292.498291,995.294861
-856.907776,3281.835449,999.40271
-857.532471,3271.106201,1003.610352
-858.007812,3260.109131,1007.776245
