X,Y,Z
-880.923401,3665.820801,1098.845825
-881.059509,3665.646973,1098.849731
-881.216736,3665.538818,1098.842529
-881.287476,3665.440674,1098.713501
-881.384033,3665.407715,1098.670898
-881.477478,3665.461914,1098.527588
-881.611328,3665.522949,1098.404663
-881.735413,3665.580566,1098.21228
-881.78479,3665.626709,1097.850708
-881.849792,3665.656006,1097.57251
-881.952393,3665.783203,1097.299561
-881.992188,3665.947754,1097.000244
-882.074707,3666.149658,1096.59082
-882.125244,3666.387695,1096.142456
-882.131836,3666.605957,1095.566528
-882.137024,3666.833252,1094.86438
-882.076294,3666.999268,1094.312866
-882.046265,3667.303223,1093.522461
-882.026245,3667.590332,1092.817261
-882.01001,3667.924072,1092.004028
-881.989624,3668.314453,1091.23999
-882.023376,3668.772705,1090.418579
-882.072754,3669.206055,1089.620239
-882.193176,3669.660645,1088.888184
-882.230835,3670.124512,1087.884888
-882.317871,3670.575928,1086.841064
-882.368103,3671.085693,1085.887695
-882.524048,3671.534668,1084.908081
-882.662537,3671.922363,1083.769043
-882.73999,3672.355713,1082.727051
-882.934509,3672.929932,1081.77832
-883.108704,3673.436523,1080.536865
-883.205566,3673.843262,1079.309692
-883.400452,3674.344238,1078.174072
-883.584351,3674.932373,1076.936279
-883.683167,3675.530273,1075.778198
-883.718933,3676.227295,1074.57666
-883.851257,3676.878906,1073.277466
-883.845947,3677.330078,1071.901611
-883.942871,3677.952881,1070.525635
-883.972473,3678.492432,1069.121216
-883.978149,3679,1067.779785
-884.037842,3679.628174,1066.46814
-884.127136,3680.190918,1065.096313
-884.143738,3680.758057,1063.809692
-884.23761,3681.421875,1062.584717
-884.275452,3682.205811,1061.435181
-884.206787,3683.016602,1060.315918
-884.241577,3683.688965,1059.186646
-884.216125,3684.681885,1058.019531
-884.197266,3685.555664,1056.88269
-884.192078,3686.203857,1055.852905
-884.21936,3686.953125,1054.783691
-884.113098,3687.800781,1053.615967
-884.105591,3688.585449,1052.599854
-883.942871,3689.509033,1051.546753
-883.776733,3690.371094,1050.485229
-883.60199,3691.307129,1049.532593
-883.38916,3692.354492,1048.62854
-883.142456,3693.269287,1047.720215
-882.883118,3694.307129,1046.790405
-882.630798,3695.338867,1045.935669
-882.337219,3696.24707,1045.027344
-882.085083,3697.184814,1044.096924
-881.93103,3698.074219,1043.290649
-881.671997,3699.121338,1042.468628
-881.403931,3700.056152,1041.709839
-881.09082,3701.221436,1040.969482
-880.824707,3702.214111,1040.370483
-880.480408,3703.260498,1039.693115
-880.112122,3704.413574,1039.045166
-879.820496,3705.349121,1038.36145
-879.483154,3706.46875,1037.747925
-879.174316,3707.365479,1037.035645
-878.764038,3708.340088,1036.401367
-878.410339,3709.301514,1035.744385
-878.13092,3710.081787,1035.00293
-877.731812,3711.011963,1034.222168
-877.336365,3711.671387,1033.406616
-876.837341,3712.389648,1032.636597
-876.481628,3712.9729,1031.819458
-876.14093,3713.782959,1031.121826
-875.814453,3714.297852,1030.454102
-875.397644,3715.008301,1029.801758
-875.10376,3715.550049,1029.062012
-874.822693,3716.251709,1028.532959
-874.58667,3716.715332,1027.94873
-874.385132,3717.142822,1027.349243
-874.139893,3717.609863,1026.731079
-873.93866,3718.073486,1026.266602
-873.810486,3718.476318,1025.877319
-873.726501,3718.874268,1025.445557
