PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 3077439919, 12.10072135925293, -87.93930053710938, -106.30227661132812, 0, 0, 0, 0, 0, 0, 
1, 3077448252, 12.097273826599121, -87.9396743774414, -106.29467010498047, 9.805453300476074, -0.08385974913835526, 0.2689670920372009, 1.0640666484832764, -2.2601616382598877, 0.5532675385475159, 
2, 3077456585, 12.0321044921875, -87.93977355957031, -106.2253646850586, 9.800765037536621, -0.07178647816181183, 0.23913279175758362, 1.0451633930206299, -2.1037356853485107, 0.6022931337356567, 
3, 3077464918, 12.02277946472168, -87.93986511230469, -106.21209716796875, 9.811792373657227, -0.0781531035900116, 0.2765260338783264, 1.0300252437591553, -2.2125704288482666, 0.5668174624443054, 
4, 3077473251, 11.970730781555176, -87.94120025634766, -106.15543365478516, 9.833141326904297, -0.08240924775600433, 0.2647426426410675, 1.0841225385665894, -2.237621307373047, 0.5753982067108154, 
5, 3077481584, 11.958732604980469, -87.9408187866211, -106.13931274414062, 9.816765785217285, -0.05484394356608391, 0.23685723543167114, 1.0787947177886963, -2.1713058948516846, 0.5713511109352112, 
6, 3077489917, 11.909309387207031, -87.94043731689453, -106.08463287353516, 9.79836654663086, -0.07500874251127243, 0.2781641185283661, 1.154945969581604, -2.063572645187378, 0.5304195880889893, 
7, 3077498250, 11.907869338989258, -87.94043731689453, -106.07819366455078, 9.832984924316406, -0.06472152471542358, 0.27435141801834106, 1.1782675981521606, -2.2035670280456543, 0.5355552434921265, 
8, 3077506583, 11.854692459106445, -87.94033813476562, -106.02092742919922, 9.833243370056152, -0.07892776280641556, 0.27038902044296265, 1.0565872192382812, -2.095846652984619, 0.5495022535324097, 
9, 3077514916, 11.852169036865234, -87.93977355957031, -106.0135726928711, 9.80968189239502, -0.09784390777349472, 0.28487277030944824, 1.1316626071929932, -2.1491754055023193, 0.5277556777000427, 
10, 3077523249, 11.807061195373535, -87.9408187866211, -105.96453094482422, 9.78174877166748, -0.08468730747699738, 0.26370587944984436, 1.0228277444839478, -2.2217915058135986, 0.5387442708015442, 
11, 3077531582, 11.82373332977295, -87.94005584716797, -105.9769515991211, 9.824767112731934, -0.07053473591804504, 0.26342645287513733, 1.0746965408325195, -2.1347033977508545, 0.4386950135231018, 
12, 3077539915, 11.809407234191895, -87.94062805175781, -105.95858001708984, 9.821145057678223, -0.0868721753358841, 0.28850048780441284, 1.0418590307235718, -2.204374074935913, 0.40086278319358826, 
13, 3077548248, 11.813365936279297, -87.9416732788086, -105.95873260498047, 9.794840812683105, -0.07263306528329849, 0.2870780825614929, 1.0305887460708618, -2.351041078567505, 0.538078248500824, 
14, 3077556581, 11.771055221557617, -87.94367218017578, -105.91217041015625, 9.832365036010742, -0.071418896317482, 0.2837703824043274, 1.0563567876815796, -2.338054656982422, 0.5523710250854492, 
15, 3077564914, 11.761938095092773, -87.94396209716797, -105.89860534667969, 9.812663078308105, -0.07901478558778763, 0.2730843126773834, 1.129229187965393, -2.2758376598358154, 0.5828007459640503, 
16, 3077573247, 11.716291427612305, -87.9455795288086, -105.84716033935547, 9.805651664733887, -0.07097938656806946, 0.26257163286209106, 1.2390373945236206, -2.273097038269043, 0.5607211589813232, 
17, 3077581580, 11.694544792175293, -87.9461441040039, -105.81996154785156, 9.826664924621582, -0.0643756315112114, 0.26539146900177, 1.2052266597747803, -2.2579588890075684, 0.6382042765617371, 
18, 3077589913, 11.637077331542969, -87.94776916503906, -105.75696563720703, 9.805147171020508, -0.08031583577394485, 0.28786563873291016, 1.1900373697280884, -2.2677431106567383, 0.608261227607727, 
19, 3077598246, 11.633007049560547, -87.94843292236328, -105.74929809570312, 9.811388969421387, -0.08954287320375443, 0.26575613021850586, 1.0531548261642456, -2.311979055404663, 0.5647169947624207, 
