Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,time_seconds,filtered_accel_x,filtered_accel_y,filtered_accel_z,Vel_X,Vel_Y,Vel_Z,Displacement_X,Displacement_Y,Displacement_Z,Acc_Global_X,Acc_Global_Y,Acc_Global_Z,Dy_dt,Dz_dt,Dx_dt,Vel_X_Roll_Mean,Vel_Y_Roll_Mean,Vel_Z_Roll_Mean,Vel_X_Roll_Std,Vel_Y_Roll_Std,Vel_Z_Roll_Std,Vel_X_Roll_Sum,Vel_Y_Roll_Sum,Vel_Z_Roll_Sum,Vel_X_Roll_Max,Vel_Y_Roll_Max,Vel_Z_Roll_Max,Vel_X_Roll_Min,Vel_Y_Roll_Min,Vel_Z_Roll_Min,Acc_Global_X_Magnitude,Vel_X_Magnitude
-133.72169494628906,15.148571014404297,22.179311752319336,-2.5356476306915283,-7.861167430877685,-7.063099384307861,-2.0508806705474854,5.923715114593506,-13.944366455078123,0.0,-2.5142563197617025,-7.79484880097426,-7.003513441360108,0.0,0.0,0.0,0.0,0.0,0.0,0.165566458875085,0.42251907460661625,20.668586490663632,,,,,,,,,,,,,,,,,,,20.67356771683964,0.0
-133.7269744873047,15.024134635925291,22.214916229248047,-2.4927895069122314,-7.7525506019592285,-7.045833110809326,-0.05727344378829,6.404675006866455,-14.372304916381836,0.008333333333333333,-2.4291581812181455,-7.555072318794529,-6.86772525175212,-0.020242984843484545,-0.0629589359899544,-0.057231043764600996,-0.0001686915403623712,-0.0005246577999162867,-0.0004769253647050083,0.18338361306347412,0.36343654845110684,20.570766186141064,13.034019470214737,2.0719528198242188,5.142974853515625,,,,,,,,,,,,,,,,20.5747937330894,0.08745855262206433
-133.74049377441406,14.898193359375,22.25654411315918,-2.401667356491089,-7.762441635131836,-6.917603969573975,-1.2672773599624634,5.924087047576904,-14.866569519042969,0.016666666666666666,-2.297284388335425,-7.4357484567108205,-6.623206368069767,-0.03938702141294642,-0.12492350646254458,-0.11242443016518239,-0.0004969167188035913,-0.0015656870204374916,-0.001413795616081528,0.18470102984903397,0.474376584028861,20.469155843500296,-1.1869239807128906,15.387496948242188,10.93465805053711,,,,,,,,,,,,,,,,20.475485062860038,0.17261654735467075
-133.7559814453125,14.778427124023438,22.307640075683597,-2.417267322540283,-7.999475479125977,-6.862994194030762,-1.7422038316726685,4.717336177825928,-15.207686424255373,0.025,-2.273116474471305,-7.5425832953324905,-6.4548384056692925,-0.058329658700207294,-0.187778367256982,-0.1662147502124265,-0.0009829972079719853,-0.003130506747579008,-0.0027989185345184157,0.10291299961767973,0.6640202912720559,20.60277371783303,-28.444061279296875,6.553173065185547,-1.8719959259033203,,,,,,,,,,,,,,,,20.613728408537423,0.2574692359913316
-133.75746154785156,14.657039642333984,22.381851196289062,-2.4105396270751958,-7.948530673980713,-6.941123962402344,-0.7945537567138672,2.816042423248291,-17.086490631103516,0.03333333333333333,-2.226885476825192,-7.360980456370899,-6.419982399855112,-0.07688703767375056,-0.24911987106007283,-0.2197146035445524,-0.0016237225219199068,-0.005206505673079615,-0.0046298735640563525,0.12575779027935885,0.5750758454588657,20.61844650171809,6.113376617431641,-9.375572204589844,0.8073234558104936,-0.03896934052607777,-0.12495613615391074,-0.11111696553735247,0.030339883125589894,0.0985151709661975,0.08672023252408424,-0.19484670263038883,-0.6247806807695537,-0.5555848276867623,0.0,0.0,0.0,-0.07688703767375056,-0.24911987106007283,-0.2197146035445524,20.62684812069108,0.34094989914937923
-133.754150390625,14.537711143493652,22.474123001098636,-2.343235969543457,-7.714277744293213,-7.035923480987549,-0.7100523114204407,1.2248857021331787,-18.47798538208008,0.041666666666666664,-2.1210413353362516,-6.999593788004013,-6.401304673515577,-0.09456238213488599,-0.3074498192934396,-0.2730588091571822,-0.0024117423730439565,-0.007768587500524945,-0.006905363640366204,0.2285329109245851,0.3680989908488474,20.501928310502844,28.1103515625,-11.37594223022461,8.076438903808647,-0.057881816953054964,-0.18644610001259868,-0.1657287273687889,0.029434681854804603,0.09696105634299632,0.08521671336835498,-0.2894090847652748,-0.9322305000629934,-0.8286436368439445,-0.020242984843484545,-0.0629589359899544,-0.057231043764600996,-0.09456238213488599,-0.3074498192934396,-0.2730588091571822,20.50650600681251,0.42193429435983437
-133.7506103515625,14.416391372680664,22.57195281982422,-2.290219306945801,-7.628654956817627,-7.209893703460693,-0.8645062446594238,0.8188487887382507,-18.98786163330078,0.05,-2.03083044092548,-6.790627847050425,-6.460504891770846,-0.11148596914259833,-0.3640383846855265,-0.3268963499219393,-0.0033407921158989428,-0.010802240706237667,-0.009629499889715698,0.33906593467738677,0.21378331970760403,20.546078386610436,10.274734497070312,-20.876426696777344,6.36199951171875,-0.07613041381287773,-0.2466619897517131,-0.21966178860025654,0.028536244480484318,0.09455945061207219,0.0847156017097671,-0.38065206906438864,-1.2333099487585655,-1.0983089430012827,-0.03938702141294642,-0.12492350646254458,-0.11242443016518239,-0.11148596914259833,-0.3640383846855265,-0.3268963499219393,20.54998798258978,0.501811010672742
-133.74453735351562,14.284978866577148,22.670726776123047,-2.20166015625,-7.450362205505371,-7.353277206420898,-0.5284731388092041,1.6692932844161987,-20.05019187927246,0.058333333333333334,-1.9065922847530499,-6.492281822869163,-6.4874298041950995,-0.12737423818220708,-0.41814073320943623,-0.38095826495689844,-0.004402244100750669,-0.014286746816316302,-0.012804152097689852,0.47628260729888233,0.02477220955143796,20.496366610168735,21.395130157470703,-17.20602035522461,10.627098083496094,-0.09372785716672985,-0.3053054351010914,-0.27336855555859974,0.02731653155224442,0.09104311002526842,0.0848550983258207,-0.4686392858336493,-1.526527175505457,-1.3668427777929988,-0.058329658700207294,-0.187778367256982,-0.1662147502124265,-0.12737423818220708,-0.41814073320943623,-0.38095826495689844,20.501914617977057,0.5798233083969573
-133.75103759765625,14.142189025878906,22.7615966796875,-2.092813730239868,-7.455382347106934,-7.403348922729492,-1.8110551834106443,3.176845073699951,-20.297163009643555,0.06666666666666667,-1.7640412634192235,-6.379749409950557,-6.420417004092803,-0.14207458204403395,-0.4713053116256909,-0.4344617399910051,-0.005586198951117618,-0.018214291079863727,-0.016424666597614896,0.5698248732537898,0.03062053421284811,20.5079686164907,-0.6024169921875,-6.00860595703125,13.06157112121582,-0.1104768418354952,-0.3620108239748332,-0.3270179535143155,0.025819094187697574,0.08777988554593459,0.08496960840926063,-0.552384209177476,-1.810054119874166,-1.6350897675715774,-0.07688703767375056,-0.24911987106007283,-0.2197146035445524,-0.14207458204403395,-0.4713053116256909,-0.4344617399910051,20.515906384516907,0.6565598884683622
-133.76226806640625,13.995445251464844,22.849328994750977,-2.051459550857544,-7.530290603637695,-7.390616416931152,-2.225570678710937,3.858696222305298,-20.50289535522461,0.075,-1.6905429300367625,-6.337451879497291,-6.2912995628062,-0.1561624397943403,-0.5241174106215016,-0.48688923634772346,-0.006887552616070454,-0.02258193616837624,-0.02048207690051259,0.5671178454088699,0.09880898280189566,20.5432934377379,-8.988990783691406,1.5279006958007812,4.962501525878906,-0.12633192225961315,-0.417010331887119,-0.3804528800749497,0.02433353416403704,0.08548491395721933,0.08462815531821632,-0.6316596112980657,-2.085051659435595,-1.9022644003747486,-0.09456238213488599,-0.3074498192934396,-0.2730588091571822,-0.1561624397943403,-0.5241174106215016,-0.48688923634772346,20.55135740370131,0.7322205242892185
