PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 3020700522, -120.55827331542969, 7.197183132171631, 19.646352767944336, 0, 0, 0, 0, 0, 0, 
1, 3020708855, -120.89505004882812, 6.875332832336426, 19.587827682495117, -0.813811182975769, -7.941823959350586, -4.185765743255615, -37.754024505615234, 24.559059143066406, -30.065580368041992, 
2, 3020717188, -121.23299407958984, 6.524765968322754, 19.53519058227539, -0.5363302230834961, -7.273880481719971, -4.392214775085449, -38.171875, 26.04448699951172, -33.40438461303711, 
3, 3020725521, -121.62712097167969, 6.149437427520752, 19.47146224975586, -0.29312682151794434, -6.903363227844238, -4.473879337310791, -44.664981842041016, 28.805397033691406, -34.89537048339844, 
4, 3020733854, -122.07090759277344, 5.752262592315674, 19.396034240722656, -0.14292430877685547, -7.129341125488281, -4.728361129760742, -50.67253494262695, 31.76178741455078, -36.341461181640625, 
5, 3020742187, -122.51824188232422, 5.331775188446045, 19.320960998535156, 0.15560060739517212, -7.314265251159668, -4.793102264404297, -51.022186279296875, 33.369327545166016, -38.285865783691406, 
6, 3020750520, -122.95674133300781, 4.90043306350708, 19.253896713256836, 0.35179534554481506, -7.373382091522217, -4.949827671051025, -50.25971603393555, 33.69794845581055, -39.81315994262695, 
7, 3020758853, -123.38904571533203, 4.45583438873291, 19.196338653564453, 0.3578799366950989, -7.05014705657959, -5.261591911315918, -49.526756286621094, 33.7802734375, -41.30844497680664, 
8, 3020767186, -123.83958435058594, 4.008797645568848, 19.133636474609375, 0.4334373474121094, -6.92319393157959, -5.401665210723877, -51.864925384521484, 34.910743713378906, -41.12787628173828, 
9, 3020775519, -124.3204574584961, 3.55710768699646, 19.070486068725586, 0.5293052792549133, -7.314481735229492, -5.4748005867004395, -55.414268493652344, 35.45405578613281, -41.06630325317383, 
10, 3020783852, -124.80848693847656, 3.111112594604492, 19.02188491821289, 0.5586768388748169, -7.976917743682861, -5.407327175140381, -56.582496643066406, 34.12123489379883, -41.376365661621094, 
11, 3020792185, -125.26734924316406, 2.669733762741089, 18.997501373291016, 0.4890286922454834, -8.645774841308594, -5.547823905944824, -53.118473052978516, 31.61232566833496, -42.09019088745117, 
12, 3020800518, -125.65155029296875, 2.2408249378204346, 19.005435943603516, 0.4355209171772003, -8.941181182861328, -5.7729172706604, -44.50007629394531, 28.04848289489746, -43.08152389526367, 
13, 3020808851, -125.96336364746094, 1.8201041221618652, 19.04244041442871, 0.43696001172065735, -8.74161148071289, -5.969692230224609, -35.78282165527344, 24.742706298828125, -43.933555603027344, 
14, 3020817184, -126.25103759765625, 1.4042303562164307, 19.09511947631836, 0.40483635663986206, -8.36245346069336, -6.132278919219971, -33.05499267578125, 23.266212463378906, -44.65040969848633, 
15, 3020825517, -126.53343963623047, 1.000484824180603, 19.13391876220703, 0.2595120668411255, -8.609643936157227, -6.321636199951172, -32.1973991394043, 23.797840118408203, -42.14915084838867, 
16, 3020833850, -126.79072570800781, 0.614964485168457, 19.17391014099121, 0.1504087746143341, -8.965778350830078, -6.2361345291137695, -29.29857063293457, 22.73750877380371, -40.58305740356445, 
17, 3020842183, -126.99169921875, 0.2489236295223236, 19.218795776367188, -0.02099686674773693, -9.597447395324707, -6.299623966217041, -22.369367599487305, 20.855934143066406, -38.74678421020508, 
18, 3020850516, -127.08618927001953, -0.09619814902544022, 19.281078338623047, -0.11479417234659195, -9.757598876953125, -6.41706657409668, -9.703303337097168, 17.943557739257812, -38.1678352355957, 
19, 3020858849, -127.12052917480469, -0.4205436706542969, 19.365583419799805, -0.13457433879375458, -9.40522575378418, -6.267923355102539, -2.2941677570343018, 14.186782836914062, -37.542755126953125, 
20, 3020867182, -127.12781524658203, -0.7204425930976868, 19.4694881439209, -0.15834276378154755, -9.39539623260498, -6.388774871826172, 0.8978185653686523, 10.742149353027344, -36.82647705078125, 
21, 3020875515, -127.09263610839844, -1.007580041885376, 19.582862854003906, -0.17193305492401123, -9.547574043273926, -6.734951496124268, 6.201201438903809, 8.741419792175293, -36.07193374633789, 
22, 3020883848, -127.0174331665039, -1.2753195762634277, 19.70132827758789, -0.0954144299030304, -9.26717472076416, -6.496771812438965, 10.953173637390137, 6.980784893035889, -34.809879302978516, 
23, 3020892181, -126.90214538574219, -1.52811861038208, 19.82534408569336, 0.05793061479926109, -8.711797714233398, -6.992478370666504, 15.968088150024414, 5.1556396484375, -33.57486343383789, 
24, 3020900514, -126.79991149902344, -1.7598806619644165, 19.914932250976562, -0.07035227864980698, -9.02591323852539, -6.781970977783203, 14.221931457519531, 7.042922019958496, -29.30638885498047, 
25, 3020908847, -126.65486145019531, -1.9867838621139526, 19.985164642333984, 0.13997270166873932, -8.483419418334961, -6.804076194763184, 19.451135635375977, 8.340847969055176, -27.251102447509766, 
26, 3020917180, -126.52881622314453, -2.1904282569885254, 20.026702880859375, 0.08820761740207672, -8.643111228942871, -6.93196439743042, 16.956100463867188, 9.531706809997559, -23.196950912475586, 
27, 3020925513, -126.39898681640625, -2.378784656524658, 20.047773361206055, 0.0010318742133677006, -8.920560836791992, -6.826081275939941, 17.44914436340332, 10.21496295928955, -20.074745178222656, 
28, 3020933846, -126.26851654052734, -2.5465354919433594, 20.064151763916016, -0.019417429342865944, -8.99756145477295, -6.731794834136963, 17.388015747070312, 9.307539939880371, -17.985301971435547, 
