Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,time_seconds,filtered_accel_x,filtered_accel_y,filtered_accel_z,Vel_X,Vel_Y,Vel_Z,Displacement_X,Displacement_Y,Displacement_Z,Acc_Global_X,Acc_Global_Y,Acc_Global_Z,Dy_dt,Dz_dt,Dx_dt,Vel_X_Roll_Mean,Vel_Y_Roll_Mean,Vel_Z_Roll_Mean,Acc_Global_X_Roll_Std,Acc_Global_Y_Roll_Std,Acc_Global_Z_Roll_Std,Vel_X_Roll_Std,Vel_Y_Roll_Std,Vel_Z_Roll_Std,Acc_Global_X_Roll_Sum,Acc_Global_Y_Roll_Sum,Acc_Global_Z_Roll_Sum,Vel_X_Roll_Sum,Vel_Y_Roll_Sum,Vel_Z_Roll_Sum,Acc_Global_X_Roll_Max,Acc_Global_Y_Roll_Max,Acc_Global_Z_Roll_Max,Vel_X_Roll_Max,Vel_Y_Roll_Max,Vel_Z_Roll_Max,Vel_X_Roll_Min,Vel_Y_Roll_Min,Vel_Z_Roll_Min,Displacement_X_Roll_Mean,Displacement_Y_Roll_Mean,Displacement_Z_Roll_Mean,Displacement_X_Roll_Std,Displacement_Y_Roll_Std,Displacement_Z_Roll_Std,Displacement_X_Roll_Sum,Displacement_Y_Roll_Sum,Displacement_Z_Roll_Sum,Displacement_X_Roll_Max,Displacement_Y_Roll_Max,Displacement_Z_Roll_Max,Displacement_X_Roll_Min,Displacement_Y_Roll_Min,Displacement_Z_Roll_Min
-134.30722045898438,17.05529022216797,22.320423126220703,-2.989107847213745,-7.13097620010376,-7.118953227996826,6.385142803192139,-2.1291449069976807,5.650423526763916,0.0,-2.9638910408292185,-7.070817632610686,-7.058896089082206,0.0,0.0,0.0,0.0,0.0,0.0,0.13319924036218758,-0.06782523539077465,20.319174089857803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-134.29165649414062,17.102214813232422,22.283626556396484,-3.0294265747070312,-7.314301013946533,-7.165230751037598,4.814604759216309,-1.9466689825057983,6.359809398651123,0.008333333333333333,-2.9536494406602722,-7.132787894788832,-6.98517722187077,-0.0246137453388356,-0.05943989912324026,-0.05820981018225641,-0.00020511454449029668,-0.0004953324926936689,-0.0004850817515188034,0.1150100668762784,0.024246667177994514,20.487225350877594,-21.998977661132812,-5.553302764892578,-4.838247299194336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-134.28067016601562,17.140451431274414,22.252704620361328,-3.1158339977264404,-8.007987976074219,-6.818386554718018,4.107089042663574,-1.6133509874343872,5.036219596862793,0.016666666666666666,-2.988856052178842,-7.698750361068011,-6.521889518150704,-0.04952087910699261,-0.12359615213214034,-0.11255888950017895,-0.0006177885370485685,-0.0015253004271281716,-0.001423072497353628,-0.16208969656654604,0.7002629524428712,20.755777581496872,-83.24243545532227,41.62130355834961,-10.368890762329102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-134.22276306152344,17.185773849487305,22.227367401123047,-3.0403056144714355,-7.28269100189209,-7.616863250732422,9.495759963989258,-2.749009132385254,5.304553985595703,0.025,-2.862470487668739,-6.8470815159034215,-7.201103068986172,-0.07337479983756544,-0.18065516476466886,-0.17256808174173038,-0.001229245202361614,-0.003030760133500412,-0.002861139845201381,0.33520703857999884,-0.27264518921022,20.769514272123175,87.03563690185547,-95.81720352172852,9.063405990600586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-134.2386932373047,17.209041595458984,22.190406799316406,-2.6027262210845947,-7.098904609680176,-7.365008354187012,1.0903468132019043,0.1389572322368621,4.231446266174316,0.03333333333333333,-2.3787965068562107,-6.545670484841582,-6.826391080588432,-0.09319810406136719,-0.23520241880501538,-0.2294546740799673,-0.002005896069539674,-0.004990780290208874,-0.0047732621292011085,0.6211779175449464,-0.09658300214211983,20.346450456152493,22.054367065429688,30.22258758544922,52.5095272064209,-0.048141505668952166,-0.11977872696501297,-0.1145582911008266,0.20244934305618723,0.3702476010447982,0.2970618341993552,0.03721518150769213,0.09358266349962482,0.0906491389926343,-14.777400255203247,-36.83486080169678,-36.084442138671875,-0.24070752834476083,-0.5988936348250649,-0.572791455504133,-2.6027262210845947,-7.098904609680176,-6.818386554718018,0.0,0.0,0.0,-0.09319810406136719,-0.23520241880501538,-0.2294546740799673,-0.0008116088706880307,-0.002008434668706225,-0.001908511244654984,0.0008162188228802875,0.002030778266512797,0.001937686529819306,-0.004058044353440153,-0.010042173343531125,-0.00954255622327492,0.0,0.0,0.0,-0.002005896069539674,-0.004990780290208874,-0.0047732621292011085
-134.2550506591797,17.218660354614258,22.14162826538086,-2.924547910690308,-7.867275714874268,-7.510348796844482,1.4208984375,2.1655044555664062,4.111161231994629,0.041666666666666664,-2.6558951455154634,-7.192492670530997,-6.850824166601325,-0.11533056360732939,-0.295139857726107,-0.2865448754683117,-0.0029669840996007523,-0.007450279104593099,-0.007161136091437039,0.3527748661413986,0.2633736075495707,21.0642672325968,-92.20453262329102,-17.440853118896484,-38.618602752685604,-0.07120761839041805,-0.1788066985102344,-0.17186726619448894,0.2018262356372054,0.3982823441543078,0.31578177590680867,0.03562448630078015,0.09221433627081678,0.09069627281681152,-14.71284031867981,-37.571160316467285,-36.47583770751953,-0.35603809195209024,-0.8940334925511719,-0.8593363309724448,-2.6027262210845947,-7.098904609680176,-6.818386554718018,-0.0246137453388356,-0.05943989912324026,-0.05820981018225641,-0.11533056360732939,-0.295139857726107,-0.2865448754683117,-0.0014050056906081813,-0.003498490489624845,-0.003340738462942392,0.0011058014238857104,0.0027827491249494364,0.002679076097156163,-0.007025028453040906,-0.017492452448124224,-0.01670369231471196,-0.00020511454449029668,-0.0004953324926936689,-0.0004850817515188034,-0.0029669840996007523,-0.007450279104593099,-0.007161136091437039
-134.26100158691406,17.21792984008789,22.093486785888672,-2.7493338584899902,-7.745294094085693,-7.500622749328613,2.690006971359253,3.0619513988494877,3.065460205078125,0.05,-2.435105854221637,-6.944552874250535,-6.720084694553662,-0.1356231123925097,-0.3530111316781948,-0.3425455812562589,-0.004097176702871666,-0.010392038535244723,-0.010015682601905863,0.5110866931147953,0.24410565798830636,20.922468749873865,14.637794494628906,1.1671257019042969,21.02568626403814,-0.09340949180115288,-0.2375209450212253,-0.22873442040928946,0.2103806008044123,0.3907625664055808,0.3169003133406118,0.03387538576766672,0.09065852590652677,0.09075648653698085,-14.432747602462769,-38.002153396606445,-36.81122970581055,-0.4670474590057644,-1.1876047251061266,-1.1436721020464473,-2.6027262210845947,-7.098904609680176,-6.818386554718018,-0.04952087910699261,-0.12359615213214034,-0.11255888950017895,-0.1356231123925097,-0.3530111316781948,-0.3425455812562589,-0.002183418122284455,-0.005477831698135056,-0.005246858633019804,0.001384702457576132,0.003531566910516919,0.0034257637261024916,-0.010917090611422275,-0.02738915849067528,-0.02623429316509902,-0.0006177885370485685,-0.0015253004271281716,-0.001423072497353628,-0.004097176702871666,-0.010392038535244723,-0.010015682601905863
-134.27467346191406,17.19659423828125,22.0455322265625,-2.5985281467437744,-7.882265567779541,-7.604710102081299,1.7122092247009275,4.689274787902832,1.386267900466919,0.058333333333333334,-2.241868342743286,-6.95652418567324,-6.703404773463993,-0.1543053485820371,-0.41098216655880515,-0.3984072877017922,-0.005383054607721975,-0.013816889923234765,-0.013335743332754132,0.6788885817583546,0.33707915556637125,21.041187055853033,-16.43657684326172,-12.490482330322266,18.0966854095459,-0.11436638569616175,-0.2949981479065582,-0.28590410004961214,0.19615291249611813,0.36088372872773755,0.10130168712911357,0.03231216908480303,0.0914708504976549,0.08929897249760031,-13.915441751480103,-37.87643098831177,-37.59755325317383,-0.5718319284808088,-1.474990739532791,-1.4295205002480607,-2.5985281467437744,-7.098904609680176,-7.365008354187012,-0.07337479983756544,-0.18065516476466886,-0.17256808174173038,-0.1543053485820371,-0.41098216655880515,-0.3984072877017922,-0.0031364713364191365,-0.007936149597356373,-0.007629392800099904,0.001651857218404814,0.004289190294769757,0.00416442668371294,-0.015682356682095683,-0.03968074798678187,-0.03814696400049952,-0.001229245202361614,-0.003030760133500412,-0.002861139845201381,-0.005383054607721975,-0.013816889923234765,-0.013335743332754132
-134.27943420410156,17.154674530029297,22.0058536529541,-2.5557188987731934,-8.044583320617676,-7.615048408508301,2.527728080749512,5.815110206604004,-1.1458783149719238,0.06666666666666667,-2.1586283761090295,-6.992396703826053,-6.593053908853084,-0.17229391838294567,-0.4692521390906889,-0.4533494036089012,-0.006818837260913189,-0.01772732441565717,-0.017113655029494974,0.7031495547102403,0.4615462864396374,21.147042731021877,-19.478130340576172,-1.2405967712402344,5.137109756469727,-0.1341502094052378,-0.35271754277176226,-0.34206036442304627,0.15204863515706357,0.3672465529455093,0.10086798670054796,0.031203347629206173,0.09233114167880101,0.08849077982026089,-13.43085503578186,-38.63832330703735,-37.59573841094971,-0.670751047026189,-1.7635877138588112,-1.7103018221152313,-2.5557188987731934,-7.098904609680176,-7.365008354187012,-0.09319810406136719,-0.23520241880501538,-0.2294546740799673,-0.17229391838294567,-0.4692521390906889,-0.4533494036089012,-0.0042543897481294515,-0.010875462453787727,-0.010479895836958623,0.0019097204297503028,0.005054578907522705,0.004897906552661274,-0.021271948740647258,-0.05437731226893863,-0.05239947918479312,-0.002005896069539674,-0.004990780290208874,-0.0047732621292011085,-0.006818837260913189,-0.01772732441565717,-0.017113655029494974
-134.26551818847656,17.087318420410156,21.97340202331543,-2.574237823486328,-8.074328422546387,-7.73439359664917,4.469454288482666,7.272395133972168,-3.809465169906616,0.075,-2.1372734231626627,-6.895171727149403,-6.591661945129924,-0.19010453024263452,-0.5267119034836006,-0.5082799198183172,-0.00840304167960181,-0.022116590278020508,-0.021349321027980952,0.7283653238396596,0.3985445074891025,21.253468459583136,-3.5694122314453125,-14.321422576904297,-2.222270965576172,-0.15353149464149127,-0.41101943970747923,-0.39782541357071627,0.15642796851658836,0.1360389285269222,0.09484221468907847,0.029454352879965447,0.09160900087045193,0.08763941467562064,-13.402366638183594,-39.613747119903564,-37.965123653411865,-0.7676574732074564,-2.0550971985373963,-1.9891270678535813,-2.5557188987731934,-7.745294094085693,-7.500622749328613,-0.11533056360732939,-0.295139857726107,-0.2865448754683117,-0.19010453024263452,-0.5267119034836006,-0.5082799198183172,-0.00553381887014188,-0.014300624451350052,-0.013795107616714592,0.0021540092336040724,0.0058152787718252445,0.005625467633449724,-0.027669094350709397,-0.07150312225675026,-0.06897553808357296,-0.0029669840996007523,-0.007450279104593099,-0.007161136091437039,-0.00840304167960181,-0.022116590278020508,-0.021349321027980952
