PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 3152895234, -129.73757934570312, 0.07669109106063843, 24.585214614868164, 0, 0, 0, 0, 0, 0, 
1, 3152903567, -130.12576293945312, -0.2102661281824112, 24.68621063232422, 0.32732492685317993, -7.894571781158447, -6.772350311279297, -44.93479919433594, 11.75362491607666, -34.772220611572266, 
2, 3152911900, -130.47837829589844, -0.4842952489852905, 24.771209716796875, 0.17086456716060638, -8.142038345336914, -6.8683953285217285, -40.60314178466797, 12.455707550048828, -32.2884635925293, 
3, 3152920233, -130.804931640625, -0.7420652508735657, 24.834365844726562, 0.0798717513680458, -8.157942771911621, -7.078702449798584, -37.471168518066406, 13.338654518127441, -28.994430541992188, 
4, 3152928566, -131.1076202392578, -0.9885404109954834, 24.881235122680664, -0.12375062704086304, -8.517895698547363, -6.979304790496826, -34.5903205871582, 14.104748725891113, -26.63460350036621, 
5, 3152936899, -131.39181518554688, -1.228148341178894, 24.93132781982422, -0.15513356029987335, -8.72988224029541, -7.356729984283447, -32.35093688964844, 13.381603240966797, -26.168670654296875, 
6, 3152945232, -131.6536407470703, -1.4583226442337036, 24.99198341369629, -0.6867397427558899, -9.968887329101562, -6.908982276916504, -29.600353240966797, 11.828620910644531, -26.113609313964844, 
7, 3152953565, -131.830322265625, -1.6859025955200195, 25.06232261657715, -0.35309940576553345, -7.552900791168213, -7.954440116882324, -19.33740997314453, 10.826417922973633, -26.58514404296875, 
8, 3152961898, -132.09780883789062, -1.9009144306182861, 25.081470489501953, -0.12357840687036514, -8.232404708862305, -8.109905242919922, -30.377117156982422, 14.509573936462402, -21.33340835571289, 
9, 3152970231, -132.36024475097656, -2.0917680263519287, 25.07356071472168, -0.3243870735168457, -8.043756484985352, -7.883691787719727, -29.8908748626709, 15.0418119430542, -16.911436080932617, 
10, 3152978564, -132.63816833496094, -2.2629315853118896, 25.04414176940918, -0.27965047955513, -8.017870903015137, -7.6798415184021, -31.834238052368164, 15.442123413085938, -13.372783660888672, 
11, 3152986897, -132.89414978027344, -2.415416717529297, 24.998184204101562, -0.35311025381088257, -8.506372451782227, -7.819695949554443, -29.31033706665039, 15.417632102966309, -10.285956382751465, 
12, 3152995230, -133.12371826171875, -2.553943634033203, 24.94810676574707, -0.4804117679595947, -8.324312210083008, -7.732577800750732, -26.160097122192383, 14.695220947265625, -8.670247077941895, 
13, 3153003563, -133.34239196777344, -2.682133674621582, 24.8970890045166, -0.3630901575088501, -8.073564529418945, -7.921188831329346, -24.882043838500977, 13.944334030151367, -7.616013526916504, 
14, 3153011896, -133.57037353515625, -2.7935776710510254, 24.835195541381836, -0.28971317410469055, -7.883021354675293, -7.948999404907227, -26.062530517578125, 13.548596382141113, -5.215907573699951, 
15, 3153020229, -133.8150177001953, -2.8915390968322754, 24.762815475463867, -0.28290629386901855, -7.8169331550598145, -7.983188152313232, -28.153987884521484, 13.347704887390137, -3.1083412170410156, 
16, 3153028562, -134.06979370117188, -2.9768309593200684, 24.68122100830078, -0.28023067116737366, -8.214235305786133, -8.017635345458984, -29.425018310546875, 13.10836410522461, -1.1957759857177734, 
17, 3153036895, -134.31591796875, -3.0505568981170654, 24.590999603271484, -0.3278716802597046, -8.308018684387207, -8.079833984375, -28.465572357177734, 12.877208709716797, 0.5873861312866211, 
18, 3153045228, -134.56752014160156, -3.1136982440948486, 24.49481773376465, -0.3624788820743561, -7.923916339874268, -8.06899642944336, -29.162944793701172, 12.4984769821167, 2.0487563610076904, 
19, 3153053561, -134.81881713867188, -3.1686954498291016, 24.3818359375, -0.3820851743221283, -8.01418685913086, -8.064027786254883, -29.261844635009766, 13.225922584533691, 4.2218194007873535, 
20, 3153061894, -135.0587615966797, -3.2222964763641357, 24.263532638549805, -0.5591405034065247, -7.977005481719971, -7.849921703338623, -27.936830520629883, 13.541322708129883, 4.8482279777526855, 
21, 3153070227, -135.3096923828125, -3.267965316772461, 24.1409912109375, -0.6749266386032104, -7.812484264373779, -7.734128475189209, -29.304683685302734, 13.201523780822754, 5.941829204559326, 
22, 3153078560, -135.57406616210938, -3.295891284942627, 24.01129722595215, -0.7208542227745056, -7.832444667816162, -7.65954065322876, -30.965158462524414, 12.254338264465332, 8.110461235046387, 
23, 3153086893, -135.84303283691406, -3.306623697280884, 23.87323760986328, -0.6685603260993958, -8.10670280456543, -7.658717155456543, -31.592737197875977, 11.441930770874023, 10.32384204864502, 
24, 3153095226, -136.07449340820312, -3.2953736782073975, 23.731395721435547, -0.638319194316864, -8.239542961120605, -7.45710563659668, -27.1060848236084, 9.808147430419922, 12.543699264526367, 
25, 3153103559, -136.2666778564453, -3.2569520473480225, 23.606416702270508, -0.7487422227859497, -8.27053451538086, -7.21215295791626, -22.282243728637695, 6.018439769744873, 13.375185012817383, 
26, 3153111892, -136.39712524414062, -3.1815338134765625, 23.511648178100586, -0.9534443616867065, -8.82400894165039, -7.206412315368652, -14.642088890075684, 0.2585245668888092, 13.851491928100586, 
27, 3153120225, -136.44882202148438, -3.085064172744751, 23.45909309387207, -1.022956371307373, -8.67049503326416, -7.24598503112793, -4.916935443878174, -5.065626621246338, 11.918525695800781, 
28, 3153128558, -136.4729766845703, -2.9693214893341064, 23.43562126159668, -0.8304178714752197, -8.21756362915039, -7.296002388000488, -1.3965907096862793, -9.166412353515625, 10.99722957611084, 
29, 3153136891, -136.4796600341797, -2.837341070175171, 23.423547744750977, -0.6556057333946228, -8.251667976379395, -7.460895538330078, 0.7525335550308228, -11.499588966369629, 11.32575798034668, 
30, 3153145224, -136.4445343017578, -2.6897637844085693, 23.4093017578125, -0.5535666346549988, -8.120664596557617, -7.720843315124512, 5.784656524658203, -12.698336601257324, 12.826241493225098, 
31, 3153153557, -136.39581298828125, -2.535856008529663, 23.39228057861328, -0.5001975297927856, -7.723996639251709, -7.551609992980957, 7.372713565826416, -12.977558135986328, 13.575074195861816, 
32, 3153161890, -136.35052490234375, -2.3696537017822266, 23.380247116088867, -0.4982917606830597, -7.988462448120117, -7.320001602172852, 7.0252838134765625, -14.478351593017578, 14.195352554321289, 
33, 3153170223, -136.27914428710938, -2.192352533340454, 23.39471435546875, -0.5096734166145325, -8.13083553314209, -7.238898754119873, 10.253165245056152, -17.588380813598633, 12.799093246459961, 
34, 3153178556, -136.19509887695312, -2.0171759128570557, 23.445091247558594, -0.6572293639183044, -7.417844295501709, -7.102506160736084, 11.958999633789062, -20.39675521850586, 9.567217826843262, 
35, 3153186889, -136.13043212890625, -1.8318588733673096, 23.50752830505371, -0.5298649072647095, -7.4275712966918945, -7.042235374450684, 9.626604080200195, -22.226394653320312, 9.358704566955566, 
36, 3153195222, -136.06336975097656, -1.6485223770141602, 23.594865798950195, -0.4202873110771179, -7.672579765319824, -7.000432014465332, 10.016555786132812, -24.15199851989746, 7.09791374206543, 
37, 3153203555, -135.98165893554688, -1.467620849609375, 23.709056854248047, -0.32613086700439453, -7.461187362670898, -7.094077110290527, 11.788293838500977, -26.129419326782227, 4.570710182189941, 
38, 3153211888, -135.89340209960938, -1.2881101369857788, 23.8341064453125, -0.22564613819122314, -6.91741943359375, -7.0531697273254395, 12.60503101348877, -26.948511123657227, 3.5912208557128906, 
39, 3153220221, -135.81735229492188, -1.100730538368225, 23.95309829711914, -0.18593302369117737, -7.013121128082275, -7.149167060852051, 11.030766487121582, -27.07370376586914, 4.767543315887451, 
40, 3153228554, -135.73521423339844, -0.9143876433372498, 24.079435348510742, -0.016112016513943672, -6.8251519203186035, -7.147118091583252, 11.77442455291748, -27.63157844543457, 4.123728275299072, 
41, 3153236887, -135.66494750976562, -0.7320659756660461, 24.208940505981445, 0.17234733700752258, -6.3564276695251465, -7.22742223739624, 10.262900352478027, -27.502559661865234, 3.5104973316192627, 
42, 3153245220, -135.61349487304688, -0.5582316517829895, 24.32949447631836, 0.2767726480960846, -6.421475410461426, -7.392509460449219, 7.99173641204834, -26.06439781188965, 3.6322929859161377, 
43, 3153253553, -135.5673828125, -0.3958211839199066, 24.437969207763672, 0.3741895854473114, -6.488353729248047, -7.473672389984131, 7.24744987487793, -24.022977828979492, 3.690552234649658, 
44, 3153261886, -135.49745178222656, -0.2365250289440155, 24.525270462036133, 0.374664843082428, -6.934629440307617, -7.580503463745117, 10.102350234985352, -22.016294479370117, 5.305953502655029, 
45, 3153270219, -135.3783416748047, -0.09120441973209381, 24.585981369018555, 0.3642484247684479, -7.4619460105896, -7.7029128074646, 15.927286148071289, -18.533037185668945, 6.393867015838623, 
46, 3153278552, -135.1992950439453, 0.03550247102975845, 24.642858505249023, 0.4768536388874054, -6.938527584075928, -7.576299667358398, 23.14063262939453, -16.643924713134766, 5.234964370727539, 
47, 3153286885, -135.00738525390625, 0.14918601512908936, 24.68987464904785, 0.624386727809906, -6.66635799407959, -7.461915493011475, 24.636402130126953, -14.637250900268555, 4.9879655838012695, 
