Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,time_seconds,filtered_accel_x,filtered_accel_y,filtered_accel_z,Vel_X,Vel_Y,Vel_Z,Displacement_X,Displacement_Y,Displacement_Z,Acc_Global_X,Acc_Global_Y,Acc_Global_Z,Dy_dt,Dz_dt,Dx_dt,Vel_X_Roll_Mean,Vel_Y_Roll_Mean,Vel_Z_Roll_Mean,Vel_X_Roll_Std,Vel_Y_Roll_Std,Vel_Z_Roll_Std,Vel_X_Roll_Sum,Vel_Y_Roll_Sum,Vel_Z_Roll_Sum,Vel_X_Roll_Max,Vel_Y_Roll_Max,Vel_Z_Roll_Max,Vel_X_Roll_Min,Vel_Y_Roll_Min,Vel_Z_Roll_Min,Acc_Global_X_Magnitude,Vel_X_Magnitude,X,Y,Z
-134.57130432128906,8.09506607055664,18.44539260864257,-1.0388768911361694,-7.562953472137451,-7.330729961395264,5.917618751525879,5.608480453491211,-8.818880081176758,0.0,-1.0301126849715914,-7.499150644287046,-7.268886224888377,0.0,0.0,0.0,0.0,0.0,0.0,0.4042220223743679,0.2248530549544005,20.383702182483493,,,,,,,,,,,,,,,,,,,20.388949678781323,0.0,-956.595642,4138.782227,0.0
-134.53314208984375,8.013421058654785,18.45718002319336,-1.0267363786697388,-7.719768524169922,-7.374853610992432,6.026645183563232,4.834021091461182,-8.567052841186523,0.0083333333333333,-1.0006203564866816,-7.527577109745399,-7.189473580549152,-0.0083385029707223,-0.0627298092478783,-0.0599122798379096,-6.948752475601954e-05,-0.0005227484103989,-0.0004992689986492,0.3975280791687977,0.298104648004135,20.524036796965344,-18.817806243896484,-5.294837951660156,1.4568614959716797,,,,,,,,,,,,,,,,20.530050691561303,0.0871437942451666,-957.950195,4138.534668,2.368774999999914
-134.48593139648438,7.937059879302978,18.47711753845215,-0.9960350394248962,-7.657115459442139,-7.283552169799805,6.966765880584717,3.776333093643189,-8.875014305114746,0.0166666666666666,-0.953075721910177,-7.336829448727713,-6.976081089814406,-0.0162808006533071,-0.1238700546539426,-0.1180462889196963,-0.0002051608635335,-0.0015549988658485,-0.00148298807298,0.3945623979365741,0.3103998117915736,20.41290562252441,7.518367767333984,10.956172943115234,3.684160709381104,,,,,,,,,,,,,,,,20.41907792930705,0.1718830452301677,-958.924988,4138.032227,4.308959999999843
-134.43289184570312,7.863248348236084,18.504539489746094,-0.9295864701271056,-7.478734016418457,-7.259945392608643,7.559247970581055,2.836648464202881,-9.206767082214355,0.025,-0.8707467031296232,-7.033476211717481,-6.832391037630231,-0.0235370231793873,-0.1824823564182549,-0.1749828808999482,-0.0004013027233618,-0.0030756851693339,-0.0029411787471462,0.4626201825371808,0.2091884979927107,20.26201527632132,21.4057731628418,2.832813262939453,7.973828315734877,,,,,,,,,,,,,,,,20.268375374431507,0.25391496701091,-959.946411,4137.620117,6.258544999999913
-134.37925720214844,7.793883800506592,18.53321647644043,-0.9467257857322692,-7.347107887268066,-7.271054744720459,7.597862243652344,2.426705837249756,-9.006837844848633,0.0333333333333333,-0.8725571309753724,-6.780560030517994,-6.724547268180461,-0.0308083326041821,-0.2389870233392382,-0.231020774801452,-0.0006580388283966,-0.0050672436971609,-0.0048663518704917,0.4582126072058407,0.092217236863485,20.179477243770386,15.795135498046877,-1.3331222534179688,-2.056717872619629,-0.0157929318815197,-0.1216138487318628,-0.1167924448918012,0.0121517121492279,0.0945301355651631,0.0912573814575771,-0.0789646594075989,-0.608069243659314,-0.5839622244590063,0.0,0.0,0.0,-0.0308083326041821,-0.2389870233392382,-0.231020774801452,20.184889512801995,0.3338181377221177,-960.885071,4137.353027,7.9368899999999485
-134.32785034179688,7.726070880889893,18.56328392028809,-0.9520769715309144,-7.276472091674805,-7.178725719451904,7.327733516693115,2.092362880706787,-8.919645309448242,0.0416666666666666,-0.8625210367084025,-6.591379208489859,-6.514968744516553,-0.0379960079100854,-0.293915183409987,-0.2853121810057566,-0.0009746722276473,-0.0075165368922441,-0.007243953378873,0.4244729406416825,0.0889664048938096,20.066681106343577,8.476295471191406,11.079483032226562,-0.642142295837429,-0.0233921334635368,-0.1803968854138602,-0.1738548810929525,0.0116777244885943,0.0913295965727619,0.0891479904877773,-0.1169606673176844,-0.9019844270693012,-0.8692744054647629,-0.0083385029707223,-0.0627298092478783,-0.0599122798379096,-0.0379960079100854,-0.293915183409987,-0.2853121810057566,20.071367240978454,0.411379231714839,-961.607971,4137.035645,9.433837999999923
-134.28018188476562,7.659729480743408,18.5931339263916,-0.940853476524353,-7.206787586212158,-7.22956657409668,6.871954441070557,2.056938648223877,-8.850104331970215,0.05,-0.8360920572032285,-6.405352226526967,-6.449917368139372,-0.0449634417201123,-0.347293118631045,-0.3390614924069181,-0.0013493675753149,-0.0104106462141695,-0.0100694658155973,0.4517180364958447,-0.0003374344552703,20.051365930773493,8.362140655517578,-6.100902557373047,1.3468194007873668,-0.0307171212134148,-0.2373095472904935,-0.2296847236067543,0.0113568186360965,0.0882863767517217,0.0873425845414678,-0.1535856060670744,-1.186547736452468,-1.1484236180337717,-0.0162808006533071,-0.1238700546539426,-0.1180462889196963,-0.0449634417201123,-0.347293118631045,-0.3390614924069181,20.05645344990339,0.4874391418146492,-962.135681,4136.75,10.720092999999906
-134.23623657226562,7.592267513275146,18.621137619018555,-0.9409670829772948,-7.079092502593994,-7.139946937561035,6.474676609039307,2.223507881164551,-8.725619316101074,0.0583333333333333,-0.821225041524381,-6.163983176090693,-6.245731624023661,-0.0518069837328155,-0.3986596450984675,-0.3911092559404486,-0.0017810924397551,-0.0137328099233234,-0.013328709615101,0.431328495945414,-0.0414947174455759,19.89910530719776,15.323410034179688,10.754356384277344,-0.013632774353014,-0.0378223578293165,-0.2922674653793985,-0.2842973170109047,0.0111788005960617,0.0855005980234327,0.0854356059346365,-0.1891117891465828,-1.4613373268969927,-1.4214865850545235,-0.0235370231793873,-0.1824823564182549,-0.1749828808999482,-0.0518069837328155,-0.3986596450984675,-0.3911092559404486,19.903822700926987,0.5608742517497302,-962.516052,4136.533691,11.691528999999946
-134.20501708984375,7.5306525230407715,18.645790100097656,-0.9006868600845337,-7.0720415115356445,-7.042742729187012,4.986476898193359,2.0906341075897217,-8.015962600708008,0.0666666666666666,-0.7664327000381188,-6.045378927450019,-6.036528313419493,-0.0581939228997998,-0.4490378028272176,-0.4414136585522777,-0.0022660417972534,-0.0174747916135502,-0.0170071567697033,0.4308919164466849,0.0211087231749263,19.821948845678133,0.8461189270019531,11.664505004882812,4.833626747131334,-0.044753737773399,-0.3455785546611911,-0.3375834725413706,0.0108463365794672,0.0829988198730788,0.083270339897646,-0.2237686888669953,-1.7278927733059557,-1.687917362706853,-0.0308083326041821,-0.2389870233392382,-0.231020774801452,-0.0581939228997998,-0.4490378028272176,-0.4414136585522777,19.82664291963049,0.6323507721090169,-962.809875,4136.28418,12.485717999999906
-134.1817169189453,7.476390838623047,18.670642852783203,-0.9059002995491028,-7.178157329559326,-6.9741973876953125,4.053248405456543,1.3785837888717651,-7.332292556762695,0.075,-0.757555944725932,-6.040074867844798,-5.858354488212838,-0.0645068891058493,-0.4993717600592576,-0.4902332792873847,-0.0028035992064688,-0.0216362229473774,-0.0210924340970982,0.3823762473653731,0.1305716752355402,19.851054060517875,-12.733898162841797,8.225440979003906,-0.625612735748291,-0.0514934490737325,-0.3976555020051949,-0.3894259734385571,0.010478146173706,0.0810644337163306,0.0809998896300024,-0.2574672453686625,-1.9882775100259749,-1.947129867192786,-0.0379960079100854,-0.293915183409987,-0.2853121810057566,-0.0645068891058493,-0.4993717600592576,-0.4902332792873847,19.85516577292988,0.7027531299166573,-962.997375,4136.029785,13.23474199999987
