PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 3077464918, -129.90078735351562, -7.590221881866455, 21.118633270263672, 0, 0, 0, 0, 0, 0, 
1, 3077473251, -129.91297912597656, -7.605311393737793, 21.120454788208008, 1.1127731800079346, -7.742771148681641, -6.409971237182617, 0.27464863657951355, 0.10708030313253403, -2.3038978576660156, 
2, 3077481584, -129.9276885986328, -7.6176581382751465, 21.120193481445312, 1.172765851020813, -7.7717509269714355, -6.437564373016357, -0.12276902049779892, -0.06272926181554794, -1.7233000993728638, 
3, 3077489917, -129.93959045410156, -7.6275482177734375, 21.123991012573242, 1.1868826150894165, -7.76753044128418, -6.424851894378662, 0.34275686740875244, -0.46991872787475586, -1.9742683172225952, 
4, 3077498250, -129.95306396484375, -7.6396484375, 21.131149291992188, 1.2189868688583374, -7.740267276763916, -6.389070510864258, 0.14355498552322388, -0.7583350539207458, -2.2670648097991943, 
5, 3077506583, -129.96788024902344, -7.651838779449463, 21.13907241821289, 1.254052996635437, -7.594040870666504, -6.468161106109619, 0.05866941064596176, -0.6686596274375916, -2.5021779537200928, 
6, 3077514916, -129.98968505859375, -7.666769504547119, 21.14129638671875, 1.24350905418396, -7.519941329956055, -6.490420341491699, -0.935790479183197, -0.08888139575719833, -2.150315046310425, 
7, 3077523249, -130.01670837402344, -7.682017803192139, 21.139070510864258, 1.237131953239441, -7.589203357696533, -6.489683628082275, -1.5712027549743652, 0.49149876832962036, -2.0055692195892334, 
8, 3077531582, -130.03773498535156, -7.703648567199707, 21.135604858398438, 1.2424347400665283, -7.616276264190674, -6.455699443817139, -0.9311414361000061, 0.9464972019195557, -2.3309340476989746, 
9, 3077539915, -130.05172729492188, -7.726269721984863, 21.128862380981445, 1.2352129220962524, -7.641678333282471, -6.450984954833984, -0.0820424035191536, 1.47342050075531, -2.3350448608398438, 
10, 3077548248, -130.05484008789062, -7.753802299499512, 21.119361877441406, 1.2524327039718628, -7.470127105712891, -6.472894668579102, 1.1205074787139893, 1.9535081386566162, -2.410581350326538, 
11, 3077556581, -130.06346130371094, -7.7769694328308105, 21.103851318359375, 1.2110427618026733, -7.514869213104248, -6.455169200897217, 0.42397964000701904, 2.313771963119507, -1.7139508724212646, 
12, 3077564914, -130.07113647460938, -7.800620079040527, 21.09048080444336, 1.1456491947174072, -7.702271461486816, -6.391742706298828, 0.5066624283790588, 2.0066065788269043, -1.7552924156188965, 
13, 3077573247, -130.0693359375, -7.818905353546143, 21.080989837646484, 1.146727442741394, -7.833504676818848, -6.393195152282715, 1.768957495689392, 1.3873053789138794, -1.725118637084961, 
14, 3077581580, -130.05145263671875, -7.839596271514893, 21.0740966796875, 1.1447906494140625, -7.763260364532471, -6.375919342041016, 3.680163621902466, 1.1872326135635376, -1.981107473373413, 
15, 3077589913, -130.03070068359375, -7.856326103210449, 21.071096420288086, 1.1727474927902222, -7.720984935760498, -6.413748264312744, 4.150493144989014, 0.6772019863128662, -2.0803370475769043, 
16, 3077598246, -130.00730895996094, -7.8737006187438965, 21.069852828979492, 1.222713828086853, -7.712963581085205, -6.46464204788208, 4.4328508377075195, 0.416282594203949, -2.1083974838256836, 
