PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2936812211, 27.289823532104492, -83.90603637695312, -71.15985870361328, 0, 0, 0, 0, 0, 0, 
1, 2936820544, 27.297626495361328, -83.90580749511719, -71.16761016845703, 9.896699905395508, 0.5577585101127625, 1.014853835105896, -1.601875901222229, -0.5859896540641785, 0.7252158522605896, 
2, 2936828877, 27.309799194335938, -83.90403747558594, -71.17951965332031, 9.872600555419922, 0.5762932300567627, 1.0281023979187012, -1.5962406396865845, -0.5369639992713928, 0.6930699944496155, 
3, 2936837210, 27.314449310302734, -83.90420532226562, -71.1841049194336, 9.84317398071289, 0.5758737325668335, 1.0039787292480469, -1.625441074371338, -0.5927519202232361, 0.7706043124198914, 
4, 2936845543, 27.322383880615234, -83.9044189453125, -71.19168853759766, 9.873152732849121, 0.5719698071479797, 1.0022244453430176, -1.5776959657669067, -0.7328872084617615, 0.8568985462188721, 
5, 2936853876, 27.317832946777344, -83.90584564208984, -71.18687438964844, 9.83591365814209, 0.5930764079093933, 1.0177744626998901, -1.6010560989379883, -0.6785082221031189, 0.9514407515525818, 
6, 2936862209, 27.32040786743164, -83.90577697753906, -71.18913269042969, 9.870905876159668, 0.5507251620292664, 0.9881319999694824, -1.5901445150375366, -0.6677758693695068, 0.8979068994522095, 
7, 2936870542, 27.3042049407959, -83.90667724609375, -71.17235565185547, 9.854805946350098, 0.5859534740447998, 1.0082855224609375, -1.5600990056991577, -0.5604522824287415, 1.0638872385025024, 
8, 2936878875, 27.2971134185791, -83.90648651123047, -71.16431427001953, 9.86505126953125, 0.5751452445983887, 1.0008385181427002, -1.5254429578781128, -0.5843247771263123, 1.0027462244033813, 
9, 2936887208, 27.291088104248047, -83.90812683105469, -71.1578369140625, 9.89834976196289, 0.5863631963729858, 0.9884902834892273, -1.581089735031128, -0.6974756121635437, 0.9837018847465515, 
10, 2936895541, 27.282142639160156, -83.90821838378906, -71.14810180664062, 9.870620727539062, 0.564690113067627, 0.9808085560798645, -1.5389034748077393, -0.6031128168106079, 1.0371333360671997, 
11, 2936903874, 27.271745681762695, -83.90853881835938, -71.1360855102539, 9.849775314331055, 0.5981422662734985, 1.03184974193573, -1.4434133768081665, -0.5260651111602783, 0.9754028916358948, 
12, 2936912207, 27.268646240234375, -83.90886688232422, -71.13261413574219, 9.867812156677246, 0.571564793586731, 0.9920116662979126, -1.5820118188858032, -0.6790589094161987, 0.988824725151062, 
13, 2936920540, 27.26483154296875, -83.91082763671875, -71.12940216064453, 9.839258193969727, 0.5886160135269165, 0.9931105375289917, -1.704332709312439, -0.7440295219421387, 0.9618144631385803, 
14, 2936928873, 27.254697799682617, -83.9107666015625, -71.11865234375, 9.877386093139648, 0.5722054243087769, 1.0106416940689087, -1.5678600072860718, -0.5814303159713745, 1.038324236869812, 
15, 2936937206, 27.24065589904785, -83.9115982055664, -71.1042251586914, 9.843831062316895, 0.5747396945953369, 1.0316555500030518, -1.588889479637146, -0.5719531178474426, 1.0357372760772705, 
16, 2936945539, 27.237733840942383, -83.91234588623047, -71.10088348388672, 9.870321273803711, 0.5924060344696045, 1.0022642612457275, -1.578630805015564, -0.7192220091819763, 1.0050640106201172, 
17, 2936953872, 27.221664428710938, -83.91426849365234, -71.08428955078125, 9.860745429992676, 0.59299236536026, 0.9818146824836731, -1.5765817165374756, -0.6701452136039734, 1.1141294240951538, 
18, 2936962205, 27.196950912475586, -83.91482543945312, -71.05873107910156, 9.8539457321167, 0.5859864950180054, 1.012328028678894, -1.545601487159729, -0.5564565062522888, 1.2396522760391235, 
