Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,time_seconds,Rcar_X,Rcar_Y,Rcar_Z,Acc_Global_X,Acc_Global_Y,Acc_Global_Z,Vel_X,Vel_Y,Vel_Z
-134.57130432128906,8.09506607055664,18.445392608642575,-1.0388768911361694,-7.562953472137451,-7.330729961395264,5.917618751525879,5.608480453491211,-8.818880081176758,0.0,0.0,0.0,0.0,0.4042220223743679,0.22485305495440058,20.383702182483493,0.0,0.0,0.0
-134.53314208984375,8.013421058654785,18.45718002319336,-1.0267363786697388,-7.719768524169922,-7.374853610992432,6.026645183563232,4.834021091461182,-8.567052841186523,0.008333333333333333,-1.3545530000000099,-0.2475589999994554,2.368774999999914,0.39752807916879773,0.29810464800413505,20.524036796965344,0.0033406254230965234,0.002178990428993898,0.17044891241437016
-134.48593139648438,7.937059879302978,18.47711753845215,-0.9960350394248962,-7.657115459442139,-7.283552169799805,6.966765880584717,3.776333093643189,-8.875014305114746,0.016666666666666666,-2.329345999999987,-0.75,4.308959999999843,0.39456239793657416,0.3103998117915736,20.41290562252441,0.006641002411035573,0.004714425678142684,0.34101950582891083
-134.43289184570312,7.863248348236084,18.504539489746094,-0.9295864701271056,-7.478734016418457,-7.259945392608643,7.559247970581055,2.836648464202881,-9.206767082214355,0.025,-3.350769000000014,-1.162109999999302,6.258544999999913,0.4626201825371808,0.20918849799271075,20.262015276321318,0.010212596496342886,0.006879376968910536,0.5104983429074348
-134.37925720214844,7.793883800506592,18.53321647644043,-0.9467257857322692,-7.347107887268066,-7.271054744720459,7.597862243652344,2.426705837249756,-9.006837844848633,0.03333333333333333,-4.289429000000041,-1.4291999999995824,7.9368899999999485,0.4582126072058407,0.09221723686348508,20.179477243770386,0.014049399786938808,0.008135234197478018,0.6790045617411502
-134.32785034179688,7.726070880889893,18.56328392028809,-0.9520769715309144,-7.276472091674805,-7.178725719451904,7.327733516693115,2.092362880706787,-8.919645309448242,0.041666666666666664,-5.0123290000000225,-1.746581999999762,9.433837999999923,0.4244729406416825,0.08896640489380962,20.066681106343577,0.017727256236303487,0.008890166038133413,0.8466968881999584
-134.28018188476562,7.659729480743408,18.5931339263916,-0.940853476524353,-7.206787586212158,-7.22956657409668,6.871954441070557,2.056938648223877,-8.850104331970215,0.05,-5.540038999999979,-2.0322269999996934,10.720092999999906,0.45171803649584474,-0.0003374344552703137,20.051365930773493,0.02137805197437652,0.00925945341496066,1.0138554175212795
-134.23623657226562,7.592267513275146,18.621137619018555,-0.9409670829772948,-7.079092502593994,-7.139946937561035,6.474676609039307,2.223507881164551,-8.725619316101074,0.058333333333333334,-5.920409999999947,-2.2485360000000583,11.691528999999946,0.431328495945414,-0.04149471744557598,19.89910530719776,0.025057412526215097,0.009085152782040468,1.1803157143461598
-134.20501708984375,7.5306525230407715,18.645790100097656,-0.9006868600845337,-7.0720415115356445,-7.042742729187012,4.986476898193359,2.0906341075897217,-8.015962600708008,0.06666666666666667,-6.214233000000036,-2.4980470000000423,12.485717999999906,0.43089191644668495,0.021108723174926347,19.821948845678133,0.02864999757784884,0.009000211139246095,1.3458201066498092
-134.1817169189453,7.476390838623047,18.670642852783203,-0.9059002995491028,-7.178157329559326,-6.9741973876953125,4.053248405456543,1.3785837888717651,-7.332292556762695,0.075,-6.401733000000036,-2.7524419999999736,13.23474199999987,0.3823762473653731,0.13057167523554025,19.851054060517875,0.03203861492706575,0.009632212799289705,1.511124285425626
