PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2848895013, -155.51824951171875, -7.456501483917236, 93.1750259399414, 0, 0, 0, 0, 0, 0, 
1, 2848903346, -156.18478393554688, -6.831284523010254, 92.68811798095703, -0.7038366198539734, -4.068649768829346, -10.775513648986816, -85.73716735839844, -44.74797821044922, 83.57501983642578, 
2, 2848911679, -156.86871337890625, -6.174227237701416, 92.21466064453125, -0.7630324959754944, -4.446924686431885, -10.801156044006348, -86.87161254882812, -49.997135162353516, 83.24803924560547, 
3, 2848920012, -157.56057739257812, -5.475390911102295, 91.75941467285156, -0.9664073586463928, -4.665964603424072, -10.712932586669922, -87.04373168945312, -56.25102233886719, 82.56315612792969, 
4, 2848928345, -158.24537658691406, -4.7355122566223145, 91.31217956542969, -1.0832477807998657, -4.950656890869141, -10.893346786499023, -85.3170166015625, -62.317237854003906, 82.99353790283203, 
5, 2848936678, -158.92938232421875, -3.9638705253601074, 90.86432647705078, -1.0562915802001953, -4.292696475982666, -10.883098602294922, -84.62681579589844, -66.60333251953125, 83.67131805419922, 
6, 2848945011, -159.64059448242188, -3.165423631668091, 90.4253921508789, -1.1580400466918945, -4.133932113647461, -10.803522109985352, -86.98664093017578, -71.18482971191406, 83.12805938720703, 
7, 2848953344, -160.35574340820312, -2.334454298019409, 90.00711822509766, -1.3558521270751953, -4.677618980407715, -10.717577934265137, -86.69453430175781, -76.49304962158203, 81.19628143310547, 
8, 2848961677, -161.05715942382812, -1.4736765623092651, 89.60581970214844, -1.392737627029419, -4.503849506378174, -10.75318431854248, -84.13514709472656, -81.751953125, 79.61829376220703, 
9, 2848970010, -161.75320434570312, -0.5862581133842468, 89.22126007080078, -1.2715808153152466, -4.257193565368652, -10.708123207092285, -82.82118225097656, -86.13680267333984, 77.67515563964844, 
10, 2848978343, -162.4452362060547, 0.31775397062301636, 88.8565902709961, -1.2355080842971802, -4.144957542419434, -10.607745170593262, -81.51188659667969, -89.94257354736328, 75.04649353027344, 
11, 2848986676, -163.13734436035156, 1.2397487163543701, 88.5046615600586, -1.4219871759414673, -3.664287805557251, -10.484598159790039, -80.95114135742188, -93.09455871582031, 73.05818939208984, 
12, 2848995009, -163.8365936279297, 2.1736090183258057, 88.16797637939453, -1.4530822038650513, -3.694249153137207, -10.384641647338867, -81.07062530517578, -96.12591552734375, 70.63456726074219, 
13, 2849003342, -164.5363006591797, 3.126269817352295, 87.84869384765625, -1.4630345106124878, -3.482931613922119, -10.120003700256348, -80.66509246826172, -99.45205688476562, 67.96984100341797, 
14, 2849011675, -165.2303924560547, 4.100144386291504, 87.56190490722656, -1.5153082609176636, -3.5829222202301025, -9.948068618774414, -79.485595703125, -104.02735137939453, 63.69682693481445, 
15, 2849020008, -165.90037536621094, 5.0916972160339355, 87.29399108886719, -1.4240102767944336, -3.321049690246582, -9.951054573059082, -76.29551696777344, -107.11943817138672, 60.69863510131836, 
16, 2849028341, -166.55197143554688, 6.084778785705566, 87.04469299316406, -1.2342292070388794, -3.135312795639038, -9.876710891723633, -73.64201354980469, -108.81761932373047, 57.3544921875, 
17, 2849036674, -167.177734375, 7.0802836418151855, 86.80743408203125, -1.1876492500305176, -3.2179293632507324, -9.741707801818848, -70.30558776855469, -109.77751922607422, 54.699241638183594, 
18, 2849045007, -167.75750732421875, 8.066178321838379, 86.56941986083984, -1.1967930793762207, -3.3008077144622803, -9.585439682006836, -64.17214965820312, -109.50870513916016, 53.37237548828125, 
19, 2849053340, -168.29957580566406, 9.040842056274414, 86.3272476196289, -1.0841748714447021, -3.093135118484497, -9.3793363571167, -59.207584381103516, -108.32167053222656, 52.393463134765625, 
20, 2849061673, -168.81442260742188, 9.998841285705566, 86.07904815673828, -0.9700913429260254, -3.3281989097595215, -9.121072769165039, -55.21806335449219, -107.01014709472656, 51.65907669067383, 
21, 2849070006, -169.2938232421875, 10.94394588470459, 85.82349395751953, -0.955727756023407, -3.1190078258514404, -9.009848594665527, -50.44303894042969, -105.49342346191406, 51.17311477661133, 
22, 2849078339, -169.74468994140625, 11.854982376098633, 85.54374694824219, -0.8391987085342407, -2.7033514976501465, -8.919438362121582, -45.83401870727539, -101.67723846435547, 52.306915283203125, 
23, 2849086672, -170.17877197265625, 12.732061386108398, 85.23914337158203, -0.6868413090705872, -2.6775519847869873, -8.70715618133545, -42.802677154541016, -97.28742218017578, 53.55681228637695, 
24, 2849095005, -170.5765380859375, 13.566821098327637, 84.91998291015625, -0.6288058161735535, -2.867525339126587, -8.566967964172363, -37.38356399536133, -92.6900405883789, 53.5772590637207, 
25, 2849103338, -170.92942810058594, 14.36255931854248, 84.58607482910156, -0.5687452554702759, -2.5918757915496826, -8.425920486450195, -31.180797576904297, -87.88333892822266, 53.77876281738281, 
26, 2849111671, -171.24267578125, 15.112119674682617, 84.23770141601562, -0.49659445881843567, -2.5859291553497314, -8.328187942504883, -25.31932830810547, -82.7578125, 53.93995666503906, 
27, 2849120004, -171.50648498535156, 15.818735122680664, 83.87845611572266, -0.4624772369861603, -2.32350754737854, -8.227517127990723, -18.669435501098633, -77.50092315673828, 53.8636474609375, 
28, 2849128337, -171.73025512695312, 16.48208999633789, 83.50914764404297, -0.4847785234451294, -1.9117414951324463, -8.088117599487305, -12.887857437133789, -72.70982360839844, 53.77737808227539, 
29, 2849136670, -171.91299438476562, 17.106515884399414, 83.13794708251953, -0.32648175954818726, -2.227926731109619, -8.046964645385742, -7.572576999664307, -68.0135498046875, 52.94578552246094, 
30, 2849145003, -172.0424041748047, 17.681421279907227, 82.76760864257812, -0.10759837925434113, -2.5979480743408203, -8.0480375289917, -0.6079956889152527, -62.55611801147461, 51.681827545166016, 
31, 2849153336, -172.10525512695312, 18.206974029541016, 82.40376281738281, -0.1278817057609558, -2.427814245223999, -7.9294915199279785, 7.393662929534912, -56.66677474975586, 49.92349624633789, 
32, 2849161669, -172.10406494140625, 18.686174392700195, 82.0568618774414, -0.21215274930000305, -2.4342215061187744, -7.805136680603027, 14.953451156616211, -51.69525146484375, 47.08068084716797, 
33, 2849170002, -172.03598022460938, 19.12489891052246, 81.73503112792969, -0.22147203981876373, -2.2647299766540527, -7.682695388793945, 22.156583786010742, -47.053733825683594, 43.5377197265625, 
34, 2849178335, -171.9104461669922, 19.522418975830078, 81.4395980834961, -0.2807009816169739, -2.1525702476501465, -7.642044544219971, 28.432371139526367, -42.723304748535156, 39.850982666015625, 
35, 2849186668, -171.72076416015625, 19.88185691833496, 81.16736602783203, -0.43676435947418213, -2.306901693344116, -7.584832668304443, 35.24354553222656, -38.28789520263672, 36.680789947509766, 
36, 2849195001, -171.46450805664062, 20.19745445251465, 80.91096496582031, -0.536859929561615, -2.3607654571533203, -7.625009536743164, 42.93166732788086, -33.39817810058594, 34.193389892578125, 
37, 2849203334, -171.14443969726562, 20.468305587768555, 80.66826629638672, -0.5994164943695068, -2.1521408557891846, -7.6072845458984375, 49.99000930786133, -27.991533279418945, 32.01607131958008, 
38, 2849211667, -170.7670135498047, 20.698293685913086, 80.43830871582031, -0.751514732837677, -2.260878801345825, -7.588094711303711, 56.629974365234375, -23.354631423950195, 29.908893585205078, 
39, 2849220000, -170.3348388671875, 20.89137840270996, 80.22198486328125, -0.936962366104126, -1.8670909404754639, -7.717058181762695, 62.53068923950195, -18.880884170532227, 27.855344772338867, 
40, 2849228333, -169.86402893066406, 21.048051834106445, 80.01979064941406, -1.0570396184921265, -1.5537559986114502, -7.79987907409668, 66.81815338134766, -14.785004615783691, 25.611438751220703, 
41, 2849236666, -169.36082458496094, 21.177270889282227, 79.8445053100586, -1.1870393753051758, -1.2732434272766113, -7.937692642211914, 69.8351821899414, -11.528523445129395, 23.354019165039062, 
42, 2849244999, -168.84706115722656, 21.28000259399414, 79.66366577148438, -1.2985055446624756, -0.7355160713195801, -8.112103462219238, 71.1486587524414, -8.440226554870605, 22.255781173706055, 
43, 2849253332, -168.33346557617188, 21.361465454101562, 79.4886474609375, -1.4029558897018433, -0.7392101287841797, -8.203818321228027, 70.71965789794922, -5.753484725952148, 21.226722717285156, 
44, 2849261665, -167.8179473876953, 21.426342010498047, 79.31513977050781, -1.5803793668746948, -1.0416759252548218, -8.270998001098633, 71.09504699707031, -3.7712910175323486, 20.639663696289062, 
45, 2849269998, -167.30087280273438, 21.476945877075195, 79.1519775390625, -1.7336349487304688, -0.8597458004951477, -8.282153129577637, 71.1115493774414, -1.800958275794983, 20.37071418762207, 
46, 2849278331, -166.79676818847656, 21.511537551879883, 78.97608947753906, -1.956593632698059, -0.7039466500282288, -8.443907737731934, 69.86408996582031, 0.1972305178642273, 20.130088806152344, 
47, 2849286664, -166.31187438964844, 21.53096580505371, 78.79004669189453, -2.2557032108306885, -0.35141777992248535, -8.508854866027832, 67.8504867553711, 2.4916868209838867, 20.854022979736328, 
48, 2849294997, -165.86387634277344, 21.529451370239258, 78.58332824707031, -2.5005156993865967, -0.40543797612190247, -8.594860076904297, 64.49980926513672, 5.565304756164551, 22.41582489013672, 
49, 2849303330, -165.4605712890625, 21.5114803314209, 78.35826110839844, -2.689704656600952, -0.9547853469848633, -8.503190994262695, 59.79052734375, 8.232085227966309, 23.91394805908203, 
50, 2849311663, -165.07591247558594, 21.48685073852539, 78.1307373046875, -3.0874626636505127, -1.6902897357940674, -8.438236236572266, 57.80332565307617, 9.159220695495605, 23.87879753112793, 
51, 2849319996, -164.69126892089844, 21.461139678955078, 77.90303802490234, -3.435401201248169, -2.2263174057006836, -8.353954315185547, 57.65705108642578, 9.522944450378418, 23.844938278198242, 
52, 2849328329, -164.3074188232422, 21.432035446166992, 77.68753051757812, -3.6478638648986816, -3.3354849815368652, -8.203805923461914, 57.157894134521484, 9.640129089355469, 22.32293128967285, 
53, 2849336662, -163.87478637695312, 21.415632247924805, 77.51099395751953, -4.194016456604004, -3.303670883178711, -8.158127784729004, 61.15629959106445, 7.211610794067383, 18.52243423461914, 
54, 2849344995, -163.42300415039062, 21.40351104736328, 77.34893798828125, -4.372549533843994, -3.8499653339385986, -8.179571151733398, 62.95018005371094, 6.333654880523682, 17.023487091064453, 
55, 2849353328, -162.93260192871094, 21.408557891845703, 77.2219009399414, -4.6502909660339355, -3.3466687202453613, -8.049427032470703, 65.9062271118164, 3.447254180908203, 13.858558654785156, 
56, 2849361661, -162.4253692626953, 21.428184509277344, 77.12025451660156, -4.706383228302002, -3.6596639156341553, -8.20541000366211, 66.96338653564453, 0.9726276993751526, 11.60508918762207, 
57, 2849369994, -161.89697265625, 21.458324432373047, 77.02899932861328, -4.6518096923828125, -3.218431234359741, -8.384435653686523, 68.89787292480469, -0.3904266357421875, 10.905716896057129, 
58, 2849378327, -161.37216186523438, 21.484447479248047, 76.94775390625, -4.4367146492004395, -3.472710371017456, -8.426383018493652, 68.18304443359375, -0.2761354148387909, 9.657196044921875, 
59, 2849386660, -160.85470581054688, 21.51225471496582, 76.90270233154297, -4.386591911315918, -3.5392582416534424, -8.33193302154541, 65.55473327636719, -1.5866669416427612, 5.936018943786621, 
60, 2849394993, -160.31495666503906, 21.544513702392578, 76.89421081542969, -4.257394790649414, -3.881920099258423, -8.413330078125, 66.78506469726562, -3.4963958263397217, 2.2410242557525635, 
61, 2849403326, -159.76307678222656, 21.582630157470703, 76.92062377929688, -4.18718957901001, -3.185100555419922, -8.467635154724121, 66.54053497314453, -5.356508255004883, -1.109267234802246, 
62, 2849411659, -159.21376037597656, 21.620649337768555, 76.9768295288086, -3.8993031978607178, -2.98272705078125, -8.508932113647461, 65.07369995117188, -6.62864351272583, -4.21469783782959, 
63, 2849419992, -158.6661834716797, 21.661466598510742, 77.05451965332031, -3.8645386695861816, -2.8605971336364746, -8.539155960083008, 63.743499755859375, -7.731849193572998, -6.2372541427612305, 
64, 2849428325, -158.11264038085938, 21.701242446899414, 77.14652252197266, -3.767742156982422, -2.7230780124664307, -8.497187614440918, 63.98642349243164, -8.375285148620605, -7.719890594482422, 
