X,Y,Z,time
-935.41272,4065.837402,1044.782837,0
-936.98053,4066.108154,1047.730347,0.008333333
-938.323792,4066.295166,1050.486938,0.016666667
-939.58197,4066.434326,1053.166138,0.025
-940.789185,4066.405762,1055.83252,0.033333333
-941.871704,4066.387695,1058.196289,0.041666667
-942.886475,4066.383301,1060.596191,0.05
-943.713684,4066.24707,1062.705444,0.058333333
-944.543762,4066.216553,1064.772095,0.066666667
-945.203735,4066.120117,1066.532593,0.075
-945.768066,4066.110596,1068.12854,0.083333333
-946.136841,4065.984619,1069.333862,0.091666667
-946.325867,4065.846924,1070.291016,0.1
-946.296692,4065.850342,1071.007202,0.108333333
-946.159241,4065.865479,1071.450806,0.116666667
-945.898132,4066.042969,1071.682983,0.125
-945.490601,4066.236572,1071.580933,0.133333333
-944.982605,4066.507812,1071.321411,0.141666667
-944.442261,4066.889404,1070.85376,0.15
-943.653931,4067.355225,1070.296753,0.158333333
-942.913269,4067.869141,1069.611938,0.166666667
-942.062805,4068.509521,1068.805664,0.175
-941.265259,4069.298828,1067.934448,0.183333333
-940.209167,4070.030273,1066.779541,0.191666667
-939.164062,4070.705322,1065.631348,0.2
-938.056946,4071.393555,1064.387939,0.208333333
-936.97229,4072.252197,1063.108887,0.216666667
-935.886902,4073.039062,1061.723877,0.225
-934.779846,4073.744873,1060.334229,0.233333333
-933.706665,4074.467773,1059.019775,0.241666667
-932.690857,4075.178711,1057.64917,0.25
-931.72583,4075.840088,1056.273804,0.258333333
-930.96582,4076.482666,1055.121826,0.266666667
-930.103882,4076.983887,1053.883057,0.275
-929.411621,4077.526611,1052.735474,0.283333333
-928.663208,4078.055908,1051.627075,0.291666667
-928.209717,4078.592773,1050.729858,0.3
-927.674988,4079.078613,1049.840942,0.308333333
-927.203857,4079.547852,1048.963989,0.316666667
-926.786865,4080.005127,1048.117065,0.325
-926.299194,4080.340332,1047.278564,0.333333333
-925.916077,4080.77002,1046.574219,0.341666667
-925.589417,4081.209229,1045.930054,0.35
-925.20874,4081.622559,1045.327881,0.358333333
-924.774353,4081.989746,1044.670288,0.366666667
-924.442932,4082.484131,1044.034546,0.375
-924.116211,4082.984375,1043.471069,0.383333333
-923.752686,4083.373535,1042.892822,0.391666667
-923.363159,4083.745117,1042.358521,0.4
-922.997009,4084.192871,1041.804077,0.408333333
-922.716003,4084.538818,1041.359497,0.416666667
-922.316223,4084.967041,1040.880371,0.425
-921.943359,4085.32373,1040.435913,0.433333333
-921.605225,4085.761475,1039.984009,0.441666667
-921.196655,4086.200684,1039.47876,0.45
-920.895142,4086.536865,1039.079956,0.458333333
-920.618958,4086.863037,1038.655762,0.466666667
-920.366455,4087.242676,1038.256226,0.475
-920.137268,4087.527832,1037.925781,0.483333333
-919.962341,4087.933105,1037.632202,0.491666667
-919.718262,4088.267334,1037.285767,0.5
-919.515076,4088.527588,1036.989136,0.508333333
-919.400513,4088.891113,1036.688965,0.516666667
-919.25238,4089.124756,1036.335938,0.525
-919.156128,4089.383545,1036.064209,0.533333333
-919.093445,4089.585205,1035.800537,0.541666667
-919.086609,4089.697266,1035.571899,0.55
-919.044189,4089.872314,1035.28418,0.558333333
-919.049805,4090.019287,1035.043823,0.566666667
-919.091858,4090.136963,1034.813721,0.575
-919.117126,4090.238037,1034.542725,0.583333333
-919.142273,4090.327148,1034.296631,0.591666667
-919.216187,4090.356445,1034.050049,0.6
-919.267029,4090.333008,1033.775635,0.608333333
-919.329224,4090.333008,1033.536499,0.616666667
-919.425781,4090.258545,1033.265015,0.625
-919.477295,4090.238525,1033.037354,0.633333333
-919.508118,4090.216064,1032.764648,0.641666667
-919.546021,4090.163818,1032.410278,0.65
-919.595581,4090.079346,1032.097412,0.658333333
-919.603943,4090.025391,1031.809448,0.666666667
-919.625549,4089.970215,1031.520996,0.675
-919.58136,4089.903809,1031.159912,0.683333333
-919.535339,4089.807617,1030.842285,0.691666667
-919.487854,4089.775146,1030.507568,0.7
-919.394348,4089.742188,1030.164307,0.708333333
-919.318237,4089.770264,1029.824219,0.716666667
-919.193176,4089.649658,1029.440796,0.725
-919.15863,4089.615723,1029.069946,0.733333333
