PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Unnamed: 11,time_seconds,Acc_Z_derivative
23,2978777199,20.471546173095703,-87.56121063232422,-165.4110107421875,9.800509452819824,-0.0841582939028739,0.2565513551235199,1.0837255716323853,-2.379741907119751,0.4120177924633026, ,0.19166666666666665,0.35319149494170965
24,2978785532,20.48569869995117,-87.56233978271484,-165.4206085205078,9.825456619262695,-0.0886808335781097,0.2572581768035888,1.1209430694580078,-2.346315383911133,0.5160372257232666, ,0.2,-1.8575629591941887
25,2978793865,20.455297470092773,-87.56651306152344,-165.38619995117188,9.797141075134276,-0.09531831741333,0.2255919724702835,1.160414457321167,-2.402230978012085,0.4982352554798126, ,0.20833333333333334,-2.7121013402938807
26,2978802198,20.47789001464844,-87.56771850585938,-165.40475463867188,9.837918281555176,-0.1064670383930206,0.2120564877986908,1.0669225454330444,-2.385146379470825,0.4814323484897613, ,0.21666666666666667,0.21436125040054144
27,2978810531,20.42416763305664,-87.57158660888672,-165.34657287597656,9.790181159973145,-0.0849546417593956,0.2291646599769592,1.221606969833374,-2.3490560054779053,0.6080948114395142, ,0.225,0.21977663040160778
28,2978818864,20.397918701171875,-87.5728759765625,-165.31564331054688,9.830942153930664,-0.096341960132122,0.2157194316387176,1.1359783411026,-2.304025888442993,0.72054123878479, ,0.23333333333333334,-0.7653352618217468
29,2978827197,20.343175888061523,-87.57675170898438,-165.25634765625,9.81490707397461,-0.0602235719561576,0.2164090722799301,1.2273445129394531,-2.3065617084503174,0.595723032951355, ,0.24166666666666667,1.8825075030326879
30,2978835530,20.317907333374023,-87.57675170898438,-165.2254638671875,9.809709548950195,-0.0964443385601043,0.2470945566892624,1.244275450706482,-2.1874043941497803,0.6759212613105774, ,0.25,2.712729871273039
31,2978843863,20.250078201293945,-87.57942199707031,-165.1530303955078,9.81697940826416,-0.0874207839369773,0.2616212368011474,1.2268835306167605,-2.1501870155334477,0.6083253026008606, ,0.2583333333333333,-0.5831891298293961
32,2978852196,20.2404899597168,-87.57868957519531,-165.13821411132812,9.787714958190918,-0.0907269343733787,0.2373747378587722,1.1962487697601318,-2.110433578491211,0.559991180896759, ,0.26666666666666666,-2.136075496673575
33,2978860529,20.20747375488281,-87.58216094970703,-165.10174560546875,9.82801342010498,-0.1037389263510704,0.2260199785232544,1.1112607717514038,-2.329153537750244,0.4804590344429016, ,0.275,2.3887261748314206
34,2978868862,20.212852478027344,-87.58135986328125,-165.10287475585938,9.802794456481934,-0.0837581679224968,0.2771868407726288,1.0777831077575684,-2.1598949432373047,0.4927026331424713, ,0.2833333333333333,1.1417090892792032
35,2978877195,20.187515258789062,-87.58524322509766,-165.07447814941406,9.790392875671388,-0.0913638472557067,0.2450484633445739,1.052937150001526,-2.3363513946533203,0.4369660317897796, ,0.2916666666666667,-2.296777367591851
36,2978885528,20.1986141204834,-87.58589172363281,-165.0809783935547,9.822236061096191,-0.0840758979320526,0.2389072179794311,1.1290626525878906,-2.318728446960449,0.5219540596008301, ,0.3,-2.345685660839065
37,2978893861,20.183691024780277,-87.58840942382812,-165.0629119873047,9.776562690734863,-0.0970163345336914,0.2059537023305893,1.0416412353515625,-2.255820274353028,0.3516194224357605, ,0.30833333333333335,-0.5530697107314868
38,2978902194,20.210601806640625,-87.58832550048828,-165.08677673339844,9.782438278198242,-0.0983308255672454,0.2296893894672393,0.9388770461082458,-2.268319606781006,0.409943014383316, ,0.31666666666666665,1.862510740756992
39,2978910527,20.22505187988281,-87.59019470214844,-165.0980987548828,9.82221794128418,-0.0961560755968093,0.2369955480098724,1.0623632669448853,-2.20774245262146,0.1763412058353424, ,0.325,2.61460661888124
40,2978918860,20.273853302001957,-87.5898666381836,-165.14321899414062,9.820284843444824,-0.0832317173480987,0.2732661664485931,1.018844723701477,-2.2777204513549805,0.2996993660926819, ,0.3333333333333333,-0.014425814151733718
41,2978927193,20.273731231689453,-87.5928726196289,-165.1401824951172,9.809398651123049,-0.0951336622238159,0.2367551177740097,1.0360829830169678,-2.318011283874512,0.2937312424182892, ,0.3416666666666667,-3.785019814968102
42,2978935526,20.33363151550293,-87.5931167602539,-165.19647216796875,9.824294090270996,-0.0923897922039032,0.2101825028657913,1.0021440982818604,-2.3842499256134038,0.2800788879394531, ,0.35,0.09539455175397293
43,2978943859,20.30880355834961,-87.59661865234375,-165.16860961914062,9.842366218566896,-0.0847188681364059,0.2383450269699096,1.0528090000152588,-2.319343328475952,0.428718239068985, ,0.35833333333333334,1.9622299075126541
44,2978952192,20.32946014404297,-87.5975112915039,-165.18515014648438,9.80751609802246,-0.0913918167352676,0.242886334657669,1.0681264400482178,-2.356099843978882,0.4823032021522522, ,0.36666666666666664,-1.4326089620590086
45,2978960525,20.286102294921875,-87.60240936279297,-165.138427734375,9.83576488494873,-0.0811025127768516,0.2144682109355926,1.0951238870620728,-2.4346587657928467,0.5723884701728821, ,0.375,-0.2920773625373627
46,2978968858,20.27589225769043,-87.60387420654297,-165.1243896484375,9.8233003616333,-0.0892568007111549,0.2380183786153793,1.0313187837600708,-2.3718526363372803,0.6506144404411316, ,0.3833333333333333,3.291116952896113
47,2978977191,20.21306037902832,-87.6088638305664,-165.0580596923828,9.79123592376709,-0.0964040160179138,0.2693201601505279,1.1065222024917605,-2.431482553482056,0.6764079332351685, ,0.39166666666666666,-1.0662817955017054
48,2978985524,20.2273006439209,-87.61173248291016,-165.0670166015625,9.803037643432615,-0.1116663515567779,0.2202470153570175,1.1978111267089844,-2.57912278175354,0.6052259802818298, ,0.4,-2.712447345256784
49,2978993857,20.189943313598636,-87.61640930175781,-165.02584838867188,9.805959701538086,-0.0946920663118362,0.2241127043962478,1.1402559280395508,-2.4361441135406494,0.540242612361908, ,0.4083333333333333,4.752578437328312
50,2979002190,20.20810890197754,-87.61665344238281,-165.03982543945312,9.816587448120115,-0.084998033940792,0.2994566559791565,1.0829827785491943,-2.265988826751709,0.4633999466896057, ,0.4166666666666667,0.1304206252097515
51,2979010523,20.16395568847656,-87.62002563476562,-164.9911346435547,9.777642250061035,-0.0843376070261001,0.226286381483078,1.2191479206085205,-2.3128886222839355,0.5338647365570068, ,0.425,-7.053096592426316
52,2979018856,20.210433959960938,-87.62010955810547,-165.03330993652344,9.830735206604004,-0.0954132229089737,0.1819050461053848,1.093894362449646,-2.312991142272949,0.3305901288986206, ,0.43333333333333335,-0.038868784904448006
53,2979027189,20.200414657592773,-87.62224578857422,-165.02024841308594,9.795519828796388,-0.0983777046203613,0.2256385684013366,1.0386956930160522,-2.226773500442505,0.3147093057632446, ,0.44166666666666665,4.7330537438392675
54,2979035522,20.254796981811523,-87.62224578857422,-165.07057189941406,9.819830894470217,-0.09635791182518,0.2607892751693725,1.0655906200408936,-2.308662176132202,0.2875325977802276, ,0.45,-1.0695505142212252
55,2979043855,20.247846603393555,-87.62480163574219,-165.06088256835938,9.842026710510254,-0.0844633430242538,0.2078127264976501,1.027374267578125,-2.229104518890381,0.2965744137763977, ,0.4583333333333333,-1.6040915250778518
56,2979052188,20.30636405944824,-87.62520599365234,-165.11582946777344,9.803861618041992,-0.091149054467678,0.2340544164180755,1.003680944442749,-2.379921197891236,0.2891463041305542, ,0.4666666666666667,1.9395893812179548
57,2979060521,20.277103424072266,-87.627685546875,-165.08290100097656,9.793432235717772,-0.0816804468631744,0.2401392161846161,1.1183046102523804,-2.1994686126708984,0.4091489911079407, ,0.475,-1.1945021152496214
58,2979068854,20.295604705810547,-87.62776947021484,-165.096923828125,9.831597328186035,-0.0805793926119804,0.2141460478305816,1.121404051780701,-2.248443126678467,0.4570476114749908, ,0.48333333333333334,-2.463382780551907
