Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,time_seconds,Rcar_X,Rcar_Y,Rcar_Z,Acc_Global_X,Acc_Global_Y,Acc_Global_Z,Vel_X,Vel_Y,Vel_Z
-135.01918029785156,12.959189414978027,20.900089263916016,-2.840319395065308,-7.6686859130859375,-7.08587646484375,-4.64971399307251,1.816049575805664,-3.716484785079956,0.0,0.0,0.0,0.0,-0.5484024924864958,0.23545635027645578,20.61414819353763,0.0,0.0,0.0
-135.05641174316406,12.927301406860352,20.914630889892575,-2.7430577278137207,-7.47901439666748,-7.140081405639648,-3.212127685546875,0.4693681001663208,-4.510615348815918,0.008333333333333333,-1.5678100000000086,0.2707519999999022,2.9475099999999657,-0.4263942929755731,0.10451269368292031,20.49868792353,-0.00406165327275862,0.001416537683164067,0.17130348382111513
-135.09945678710938,12.902173042297363,20.93375396728516,-2.664557456970215,-7.333792209625244,-7.21802282333374,-3.85615873336792,-0.4375807642936706,-4.419210910797119,0.016666666666666666,-2.91107199999999,0.45776399999977,5.704101000000037,-0.31560900406846343,-0.01396248567288782,20.434708188894742,-0.007153333677108771,0.0017938302165392023,0.3418593009562182
-135.14791870117188,12.881481170654297,20.95125389099121,-2.608072280883789,-7.456634521484375,-7.281828880310059,-4.63800859451294,-0.7224367260932922,-3.8057503700256343,0.025,-4.16924999999992,0.5969239999999445,8.383301000000074,-0.25848871774111437,0.062194354424990224,20.550474230521797,-0.009545407517982012,0.001994796336339629,0.5126308943704538
-135.19065856933594,12.862629890441896,20.962810516357425,-2.5752410888671875,-7.543605327606201,-7.344702243804932,-3.617421865463257,-0.340592473745346,-3.261896133422852,0.03333333333333333,-5.376464999999939,0.5683599999997568,11.049682999999959,-0.21892535472619346,0.10425392218939986,20.646221752225166,-0.011534632819929128,0.0026883308222329207,0.6842837942985661
-135.23135375976562,12.841952323913574,20.96796417236328,-2.551433563232422,-7.50004768371582,-7.343990802764893,-3.3773393630981445,0.2976246178150177,-2.7799642086029053,0.041666666666666664,-6.458983999999987,0.5502929999997832,13.413452000000007,-0.19919814457491353,0.08722450693490937,20.61034450289819,-0.013276814067017074,0.0034861576102508756,0.8561861536949134
-135.2768096923828,12.817011833190918,20.96272850036621,-2.496457815170288,-7.645248889923096,-7.398775100708008,-3.494678497314453,1.5689616203308103,-2.378307580947876,0.05,-7.473754999999983,0.5458989999997357,15.813354000000118,-0.1504147986006202,0.18404321228370762,20.73554386229931,-0.014733534663581798,0.00461643977366178,1.028460688549903
-135.3091583251953,12.7826566696167,20.94983291625977,-2.3694217205047607,-7.593695163726807,-7.50862455368042,-1.897015929222107,2.953718423843384,-2.431046962738037,0.058333333333333334,-8.300963999999908,0.4096679999997832,17.92260699999997,0.006404081029140826,0.12856327551126587,20.74806375412377,-0.01533357932012963,0.005918966806140836,1.2013090536183324
-135.33929443359375,12.745298385620115,20.933897018432617,-2.3306188583374023,-7.526242256164551,-7.440802097320557,-1.3766756057739258,3.510226249694824,-2.532825231552124,0.06666666666666667,-9.13104199999998,0.3791510000000926,19.989258000000063,0.013506523807369688,0.1369516037250903,20.646175729696182,-0.015250618466644168,0.007025278802958987,1.3737850514675822
-135.3650665283203,12.704873085021973,20.917341232299805,-2.297682523727417,-7.630072593688965,-7.477298259735107,-1.0103663206100464,3.774924039840698,-2.634411334991455,0.075,-9.791015000000016,0.2827149999998255,21.749755999999934,0.03780351623719492,0.20296261827070136,20.735416198003097,-0.01503682663312515,0.008441588061274785,1.5462083511663292
-135.3751220703125,12.66282081604004,20.91095924377441,-2.2244975566864014,-7.727170944213867,-7.401219844818115,0.7764442563056946,3.127882480621338,-3.7174065113067623,0.08333333333333333,-10.35534599999994,0.2731939999998758,23.345702999999958,0.055501528513451893,0.34290849278187063,20.733138226629148,-0.014648055613330787,0.010716051023993835,1.7189939946022967
-135.35855102539062,12.61692237854004,20.918926239013672,-2.203702688217163,-7.70060396194458,-7.408976078033447,3.425058603286743,2.226414918899536,-5.137510299682617,0.09166666666666666,-10.724120999999968,0.1472169999997277,24.55102499999998,0.07336982772784663,0.3203813567460251,20.715984875116636,-0.014111091628992043,0.013479758730360067,1.891698674192904
-135.33114624023438,12.568288803100586,20.933467864990234,-2.2028379440307617,-7.628353118896484,-7.405352115631103,4.7176690101623535,1.9636772871017456,-6.016861438751221,0.1,-10.91314699999998,0.009521999999833497,25.508178999999927,0.07388370579619924,0.26287005532534835,20.66398299255866,-0.013497535239308519,0.015909972947324127,2.0641152069748845
-135.2999267578125,12.51307487487793,20.950870513916016,-2.158503532409668,-7.584661960601807,-7.4095587730407715,4.936158180236816,2.239926815032959,-6.712416172027588,0.10833333333333334,-10.883971999999972,0.01294000000007145,26.224365000000034,0.11309957553359197,0.2353137044713911,20.627561264613785,-0.012718438233767723,0.017985738613143874,2.2361633080464363
-135.26693725585938,12.456258773803713,20.96795654296875,-2.030559062957764,-7.638569355010986,-7.399571895599365,5.325161457061768,2.4458651542663574,-6.919455528259277,0.11666666666666667,-10.746520999999916,0.02807699999993929,26.667969000000085,0.2118708464243852,0.3152270186249887,20.630365927674585,-0.011364394808942819,0.02027965829271212,2.4080713380143046
-135.22157287597656,12.39613151550293,20.989660263061523,-1.9864189624786377,-7.5417561531066895,-7.36202335357666,6.528466701507568,2.2952535152435303,-7.489219665527344,0.125,-10.485411999999997,0.20556699999997363,26.90014599999995,0.24058258011439632,0.2720736910096681,20.528741994974563,-0.009479172198364564,0.022726744582856524,2.5795676210253426
